,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.419,12.165
1,0.0922547877,0.092,1,15.068,12.005
2,0.1000000015,0.1,1,14.011,11.484
3,0.1199999973,0.12,1,12.86,10.759
4,0.1400000006,0.14,1,12.24,10.301
5,0.1599999964,0.16,1,11.802,9.954
6,0.2000000179,0.2,1,11.164,9.418
7,0.25,0.25,1,10.566,8.899
8,0.3000000417,0.3,1,10.052,8.481
9,0.348172605,0.348,1,9.658,8.143
10,0.349999994,0.35,1,9.644,8.131
11,0.3840796351,0.384,1,9.352,7.886
12,0.400000006,0.4,1,9.224,7.78
13,0.4500000179,0.45,1,8.707,7.367
14,0.4981051087,0.498,1,8.114,6.923
15,0.5,0.5,1,8.091,6.906
16,0.5500000715,0.55,1,7.476,6.438
17,0.6000000238,0.6,1,6.937,6.008
18,0.6207060218,0.621,1,6.723,5.837
19,0.6499999762,0.65,1,6.437,5.608
20,0.6797501445,0.68,1,6.165,5.388
21,0.6999999881,0.7,1,5.988,5.245
22,0.7181504369,0.718,1,5.836,5.12
23,0.747333467,0.747,1,5.597,4.923
24,0.75,0.75,1,5.575,4.905
25,0.7800970078,0.78,1,5.337,4.701
26,0.8000000119,0.8,1,5.182,4.567
27,0.8086434007,0.808,1,5.114,4.509
28,0.8407860994,0.84,1,4.865,4.294
29,0.8500000238,0.85,1,4.793,4.232
30,0.8719492555,0.871,1,4.624,4.087
31,0.8992324471,0.899,1,4.413,3.905
32,0.8999999762,0.899,1,4.407,3.899
33,0.9224599004,0.922,1,4.231,3.75
34,0.9437378645,0.943,1,4.061,3.605
35,0.9499999881,0.95,1,4.01,3.561
36,0.9614412189,0.961,1,3.917,3.484
37,0.9781408906,0.978,1,3.777,3.368
38,0.9939562082,0.994,1,3.641,3.256
39,1.0,1.0,1,3.588,3.212
40,1.0009624958,1.001,1,3.58,3.206
41,1.0142856836,1.014,1,3.462,3.112
42,1.0273940563,1.027,1,3.344,3.017
43,1.0405179262,1.04,1,3.223,2.92
44,1.0499999523,1.05,1,3.133,2.846
45,1.0514880419,1.051,1,3.119,2.835
46,1.0587518215,1.058,1,3.047,2.774
47,1.0683498383,1.068,1,2.952,2.691
48,1.0696287155,1.069,1,2.94,2.68
49,1.0777199268,1.077,1,2.837,2.592
50,1.0796259642,1.079,1,2.809,2.568
51,1.0828082561,1.082,2,2.772,2.535
52,1.0895172358,1.089,2,2.696,2.463
53,1.096706152,1.096,2,2.609,2.378
54,1.1000000238,1.099,2,2.564,2.332
55,1.1066248417,1.106,2,2.472,2.229
56,1.1145912409,1.114,2,2.347,2.064
57,1.1192512512,1.119,2,2.268,1.934
58,1.1217800379,1.121,2,2.226,1.846
59,1.1235603094,1.123,2,2.2,1.774
60,1.1248027086,1.124,2,2.185,1.721
61,1.1259974241,1.125,2,2.176,1.668
62,1.1269454956,1.126,2,2.172,1.627
63,1.127779007,1.127,2,2.175,1.598
64,1.1286029816,1.128,2,2.184,1.573
65,1.1293852329,1.129,2,2.196,1.554
66,1.1301555634,1.129,2,2.212,1.54
67,1.1309318542,1.13,2,2.227,1.529
68,1.1317150593,1.131,2,2.237,1.517
69,1.1328458786,1.132,2,2.23,1.482
70,1.133338213,1.133,2,2.216,1.458
71,1.1339395046,1.133,3,2.175,1.41
72,1.1351277828,1.134,3,2.08,1.301
73,1.1361093521,1.135,3,1.986,1.199
74,1.1370401382,1.136,3,1.89,1.095
75,1.1379424334,1.137,3,1.789,0.988
76,1.1387895346,1.138,3,1.687,0.881
77,1.1396429539,1.139,3,1.578,0.765
78,1.1404187679,1.14,3,1.472,0.654
79,1.1411352158,1.14,3,1.367,0.543
80,1.1417843103,1.141,3,1.265,0.436
81,1.1424000263,1.142,3,1.162,0.326
82,1.1430027485,1.142,3,1.053,0.21
83,1.1435165405,1.143,3,0.953,0.105
84,1.1440082788,1.143,3,0.851,-0.004
85,1.1444722414,1.144,3,0.748,-0.114
86,1.1448959112,1.144,3,0.647,-0.223
87,1.145290494,1.145,3,0.545,-0.331
88,1.1456549168,1.145,3,0.444,-0.439
89,1.1459866762,1.145,3,0.346,-0.545
90,1.1463034153,1.146,3,0.247,-0.653
91,1.1465930939,1.146,3,0.15,-0.758
92,1.1468652487,1.146,3,0.053,-0.863
93,1.1471157074,1.146,3,-0.041,-0.965
94,1.1473546028,1.147,3,-0.135,-1.068
95,1.1475768089,1.147,3,-0.221,-1.162
96,1.1478307247,1.147,3,-0.302,-1.251
97,1.1479518414,1.147,3,-0.333,-1.285
98,1.1480996609,1.147,3,-0.292,-1.239
99,1.1482311487,1.147,3,-0.202,-1.139
100,1.1482405663,1.147,3,-0.198,-1.134
