,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.46,12.653
1,0.0970749259,0.097,1,15.436,12.001
2,0.1000000015,0.1,1,15.046,11.821
3,0.1098603755,0.11,1,14.287,11.429
4,0.1199999973,0.12,1,13.634,11.066
5,0.1400000006,0.14,1,12.873,10.577
6,0.1599999964,0.16,1,12.365,10.213
7,0.2000000179,0.2,1,11.658,9.668
8,0.25,0.25,1,11.037,9.158
9,0.3000000417,0.3,1,10.552,8.75
10,0.3500000238,0.35,1,10.136,8.373
11,0.351064831,0.351,1,10.126,8.365
12,0.400000006,0.4,1,9.681,7.986
13,0.4499999881,0.45,1,9.069,7.542
14,0.5,0.5,1,8.47,7.089
15,0.5500000715,0.55,1,7.777,6.597
16,0.6000000238,0.6,1,7.155,6.138
17,0.6029681563,0.603,1,7.12,6.111
18,0.6499999762,0.65,1,6.606,5.712
19,0.6532961726,0.653,1,6.572,5.685
20,0.6849194765,0.685,1,6.262,5.439
21,0.7000000477,0.7,1,6.122,5.327
22,0.7177003622,0.718,1,5.967,5.202
23,0.7471796274,0.747,1,5.716,4.999
24,0.75,0.75,1,5.693,4.98
25,0.7694666982,0.769,1,5.535,4.846
26,0.7974997163,0.797,1,5.313,4.657
27,0.8000000119,0.8,1,5.294,4.64
28,0.8013398051,0.801,1,5.283,4.631
29,0.8326044083,0.832,1,5.041,4.419
30,0.8500000238,0.85,1,4.906,4.301
31,0.8628755212,0.862,1,4.807,4.214
32,0.8892360926,0.889,1,4.602,4.034
33,0.8999999762,0.899,1,4.518,3.96
34,0.9114502668,0.911,1,4.429,3.882
35,0.931701839,0.931,1,4.269,3.741
36,0.9499999881,0.95,1,4.121,3.61
37,0.9645971656,0.964,1,4.001,3.505
38,0.9821174145,0.982,1,3.854,3.375
39,0.9978112578,0.998,1,3.72,3.256
40,1.0,1.0,1,3.701,3.24
41,1.0029652119,1.003,1,3.676,3.218
42,1.0192397833,1.019,1,3.537,3.095
43,1.0329104662,1.033,1,3.417,2.987
44,1.0443787575,1.044,1,3.309,2.889
45,1.0499999523,1.05,1,3.254,2.838
46,1.057133317,1.057,1,3.181,2.773
47,1.0596541166,1.059,1,3.155,2.748
48,1.0652421713,1.065,1,3.093,2.69
49,1.0740464926,1.073,1,2.992,2.591
50,1.0824280977,1.082,1,2.892,2.49
51,1.0879027843,1.087,1,2.825,2.418
52,1.0915284157,1.091,1,2.777,2.362
53,1.0976084471,1.097,2,2.695,2.262
54,1.1000000238,1.099,2,2.661,2.215
55,1.1035642624,1.103,2,2.609,2.144
56,1.1075111628,1.107,2,2.553,2.054
57,1.1104369164,1.11,2,2.518,1.983
58,1.1121946573,1.112,2,2.505,1.941
59,1.1135809422,1.113,2,2.503,1.912
60,1.1146482229,1.114,2,2.511,1.895
61,1.1158100367,1.115,2,2.532,1.888
62,1.1168240309,1.116,2,2.556,1.885
63,1.1177072525,1.117,2,2.581,1.886
64,1.1185154915,1.118,2,2.597,1.882
65,1.1192783117,1.119,2,2.607,1.874
66,1.1200345755,1.119,2,2.6,1.851
67,1.1209884882,1.12,2,2.58,1.813
68,1.1221135855,1.121,2,2.551,1.765
69,1.1222516298,1.122,2,2.548,1.759
70,1.1224504709,1.122,2,2.534,1.744
71,1.1238366365,1.123,3,2.43,1.626
72,1.1249892712,1.124,3,2.331,1.518
73,1.1260658503,1.125,3,2.229,1.409
74,1.1271502972,1.126,3,2.118,1.29
75,1.1281452179,1.127,3,2.007,1.173
76,1.1289968491,1.128,3,1.906,1.066
77,1.1298927069,1.129,3,1.792,0.946
78,1.1306664944,1.13,3,1.687,0.834
79,1.1313961744,1.131,3,1.579,0.719
80,1.1320471764,1.131,3,1.475,0.608
81,1.1326795816,1.132,3,1.366,0.492
82,1.1332272291,1.132,3,1.263,0.382
83,1.1337695122,1.133,3,1.153,0.265
84,1.1342328787,1.134,3,1.053,0.157
85,1.1346808672,1.134,3,0.949,0.044
86,1.1350955963,1.134,3,0.845,-0.069
87,1.1354682446,1.135,3,0.744,-0.179
88,1.1358234882,1.135,3,0.641,-0.291
89,1.1361428499,1.135,3,0.541,-0.4
90,1.136453867,1.136,3,0.439,-0.513
91,1.1367319822,1.136,3,0.343,-0.618
92,1.1370071173,1.136,3,0.247,-0.724
93,1.1372823715,1.137,3,0.164,-0.817
94,1.1375551224,1.137,3,0.094,-0.893
95,1.1376451254,1.137,3,0.104,-0.881
96,1.1378229856,1.137,3,0.194,-0.781
97,1.1378986835,1.137,3,0.238,-0.731
98,1.1380016804,1.137,3,0.191,-0.783
99,1.1382154226,1.137,3,0.093,-0.891
100,1.1384197474,1.138,3,-0.0,-0.995
101,1.1386170387,1.138,3,-0.096,-1.102
102,1.1387933493,1.138,3,-0.185,-1.202
103,1.1389605999,1.138,3,-0.276,-1.305
104,1.1391149759,1.138,3,-0.366,-1.407
105,1.1392565966,1.139,3,-0.455,-1.508
106,1.1393872499,1.139,3,-0.543,-1.608
107,1.1395094395,1.139,3,-0.629,-1.708
108,1.1396200657,1.139,3,-0.712,-1.805
109,1.1397249699,1.139,3,-0.797,-1.903
110,1.139821291,1.139,3,-0.88,-2.0
111,1.1399111748,1.139,3,-0.962,-2.096
112,1.1399954557,1.139,3,-1.042,-2.192
113,1.1400718689,1.139,3,-1.117,-2.283
114,1.1401456594,1.139,3,-1.193,-2.377
115,1.1402125359,1.139,3,-1.267,-2.468
116,1.1402761936,1.14,3,-1.341,-2.561
117,1.1403356791,1.14,3,-1.413,-2.652
118,1.1404035091,1.14,3,-1.499,-2.764
