,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,17.096,13.021
1,0.0952307954,0.095,1,16.407,12.594
2,0.0999016613,0.1,1,15.855,12.152
3,0.1197049841,0.12,1,14.361,11.333
4,0.1395083219,0.139,1,13.499,10.824
5,0.1442436725,0.144,1,13.346,10.728
6,0.1593116373,0.159,1,12.917,10.444
7,0.198918283,0.199,1,12.115,9.874
8,0.2484266162,0.248,1,11.444,9.352
9,0.2979349196,0.298,1,10.94,8.941
10,0.3355666697,0.335,1,10.586,8.643
11,0.347443223,0.347,1,10.482,8.554
12,0.3969515264,0.397,1,10.001,8.169
13,0.4464598894,0.446,1,9.512,7.737
14,0.495968163,0.496,1,8.828,7.282
15,0.5454764962,0.545,1,8.191,6.826
16,0.5652902126,0.565,1,7.925,6.642
17,0.5949847698,0.595,1,7.542,6.371
18,0.644493103,0.644,1,6.937,5.931
19,0.6634931564,0.663,1,6.728,5.772
20,0.6940014362,0.694,1,6.419,5.532
21,0.6949571967,0.695,1,6.41,5.525
22,0.7270807028,0.727,1,6.109,5.289
23,0.7437158227,0.744,1,5.962,5.172
24,0.754927516,0.755,1,5.869,5.096
25,0.7804040313,0.78,1,5.662,4.925
26,0.7934301496,0.793,1,5.558,4.84
27,0.8125377893,0.812,1,5.41,4.714
28,0.8368083239,0.836,1,5.226,4.558
29,0.843144536,0.843,1,5.178,4.517
30,0.8632087708,0.862,1,5.029,4.388
31,0.8864793777,0.886,1,4.859,4.239
32,0.8928588629,0.892,1,4.812,4.198
33,0.9080927968,0.907,1,4.701,4.1
34,0.9251389503,0.924,1,4.576,3.99
35,0.9413259029,0.941,1,4.457,3.884
36,0.9425732493,0.942,1,4.448,3.876
37,0.9556531906,0.955,1,4.352,3.79
38,0.9695282578,0.969,1,4.249,3.699
39,0.9922875762,0.992,1,4.078,3.546
40,1.0067719221,1.006,1,3.969,3.448
41,1.0242096186,1.024,1,3.836,3.329
42,1.0398287773,1.039,1,3.718,3.222
43,1.0420018435,1.041,1,3.702,3.207
44,1.0544258356,1.054,1,3.609,3.123
45,1.068231225,1.067,1,3.504,3.027
46,1.079834342,1.079,1,3.41,2.94
47,1.0893397331,1.088,1,3.331,2.866
48,1.0917162895,1.091,1,3.31,2.846
49,1.0950195789,1.094,1,3.284,2.821
50,1.0993193388,1.098,1,3.248,2.787
51,1.1024583578,1.102,1,3.219,2.759
52,1.1072016954,1.106,1,3.171,2.712
53,1.1115049124,1.111,1,3.124,2.666
54,1.1142123938,1.113,1,3.088,2.632
55,1.1170750856,1.116,2,3.059,2.604
56,1.1236463785,1.123,2,2.999,2.542
57,1.1322575808,1.131,2,2.919,2.458
