,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.57,12.203
1,0.0961870477,0.096,1,14.656,11.781
2,0.1000000089,0.1,1,14.16,11.534
3,0.1115494296,0.112,1,13.429,11.099
4,0.1199999899,0.12,1,12.971,10.806
5,0.1400000006,0.14,1,12.336,10.344
6,0.1599999964,0.16,1,11.89,9.996
7,0.2000000179,0.2,1,11.237,9.461
8,0.25,0.25,1,10.654,8.942
9,0.3000000417,0.3,1,10.153,8.525
10,0.3499999642,0.35,1,9.715,8.164
11,0.4000000358,0.4,1,9.288,7.81
12,0.4500000179,0.45,1,8.768,7.394
13,0.5,0.5,1,8.139,6.926
14,0.5500000715,0.55,1,7.496,6.444
15,0.6000000238,0.6,1,6.942,6.006
16,0.630718112,0.631,1,6.62,5.75
17,0.6499999762,0.65,1,6.429,5.597
18,0.6512823701,0.651,1,6.417,5.587
19,0.6789109111,0.679,1,6.158,5.378
20,0.6999999285,0.7,1,5.97,5.225
21,0.7168037295,0.717,1,5.826,5.106
22,0.7421837449,0.742,1,5.612,4.93
23,0.75,0.75,1,5.547,4.876
24,0.7746112347,0.775,1,5.346,4.703
25,0.7984476686,0.798,1,5.152,4.535
26,0.8000000715,0.8,1,5.14,4.524
27,0.8062247038,0.806,1,5.089,4.481
28,0.8334232569,0.833,1,4.869,4.289
29,0.8500000238,0.85,1,4.734,4.172
30,0.8622041941,0.862,1,4.635,4.086
31,0.8842454553,0.884,1,4.454,3.929
32,0.8999999762,0.899,1,4.323,3.814
33,0.9044603705,0.904,1,4.285,3.782
34,0.9229014516,0.922,1,4.127,3.645
35,0.9387367964,0.938,1,3.986,3.524
36,0.9499999881,0.95,1,3.883,3.435
37,0.9523347616,0.952,1,3.862,3.417
38,0.9654707909,0.965,1,3.739,3.313
39,0.9778407812,0.978,1,3.621,3.213
40,0.990039885,0.99,1,3.503,3.113
41,1.0,1.0,1,3.405,3.029
42,1.0091784,1.009,1,3.311,2.95
43,1.018597126,1.018,1,3.209,2.862
44,1.0310784578,1.031,1,3.062,2.734
45,1.0327445269,1.032,1,3.042,2.716
46,1.0386462212,1.038,1,2.964,2.643
47,1.0440192223,1.044,1,2.893,2.575
48,1.0476486683,1.047,1,2.845,2.528
49,1.0499999523,1.05,2,2.812,2.494
50,1.0500836372,1.05,2,2.81,2.492
51,1.0544854403,1.054,2,2.742,2.418
52,1.0592558384,1.059,2,2.666,2.329
53,1.0644390583,1.064,2,2.579,2.219
54,1.0687470436,1.068,2,2.502,2.108
55,1.071726203,1.071,2,2.448,2.016
56,1.0735136271,1.073,2,2.416,1.951
57,1.0748530626,1.074,2,2.393,1.898
58,1.0758303404,1.075,2,2.38,1.858
59,1.076805234,1.076,2,2.37,1.818
60,1.077604413,1.077,2,2.365,1.786
61,1.0783265829,1.078,2,2.364,1.76
62,1.079059124,1.078,2,2.37,1.739
63,1.0797721148,1.079,2,2.381,1.724
64,1.0804919004,1.08,2,2.397,1.713
65,1.0812354088,1.081,2,2.415,1.706
66,1.0820043087,1.081,2,2.422,1.691
67,1.0831501484,1.082,2,2.384,1.627
68,1.0836622715,1.083,2,2.355,1.589
69,1.0841852427,1.083,2,2.309,1.536
70,1.0852166414,1.085,3,2.206,1.422
71,1.0860664845,1.085,3,2.11,1.317
72,1.0868706703,1.086,3,2.011,1.211
73,1.0876485109,1.087,3,1.908,1.102
74,1.0883773565,1.088,3,1.804,0.992
75,1.0891102552,1.088,3,1.693,0.875
76,1.0897753239,1.089,3,1.584,0.76
77,1.0903885365,1.09,3,1.477,0.647
78,1.0909432173,1.09,3,1.374,0.538
79,1.0914685726,1.091,3,1.269,0.428
80,1.0919822454,1.091,3,1.159,0.311
81,1.0924195051,1.092,3,1.058,0.203
82,1.0928376913,1.092,3,0.954,0.092
83,1.0932315588,1.092,3,0.849,-0.02
84,1.093591094,1.093,3,0.746,-0.13
85,1.0939255953,1.093,3,0.643,-0.241
86,1.0942342281,1.093,3,0.54,-0.351
87,1.0945150852,1.094,3,0.441,-0.459
88,1.0947830677,1.094,3,0.339,-0.568
89,1.0950279236,1.094,3,0.24,-0.676
90,1.0952577591,1.094,3,0.141,-0.784
91,1.0954692364,1.095,3,0.044,-0.89
92,1.0956708193,1.095,3,-0.052,-0.996
93,1.0958582163,1.095,3,-0.142,-1.095
94,1.0960723162,1.095,3,-0.226,-1.187
95,1.0961743593,1.095,3,-0.253,-1.217
96,1.096296072,1.096,3,-0.212,-1.171
97,1.0964006186,1.096,3,-0.128,-1.077
98,1.0964159966,1.096,3,-0.117,-1.064
99,1.0965534449,1.096,3,-0.202,-1.158
100,1.0967069864,1.096,3,-0.297,-1.263
101,1.0968511105,1.096,3,-0.391,-1.367
102,1.0969889164,1.096,3,-0.486,-1.473
103,1.097111702,1.096,3,-0.576,-1.573
104,1.0972315073,1.096,3,-0.67,-1.678
105,1.0973397493,1.097,3,-0.758,-1.778
106,1.0974422693,1.097,3,-0.847,-1.879
107,1.0975357294,1.097,3,-0.933,-1.978
108,1.097624898,1.097,3,-1.021,-2.078
109,1.0977047682,1.097,3,-1.105,-2.174
110,1.0977814198,1.097,3,-1.191,-2.273
111,1.0978506804,1.097,3,-1.271,-2.367
112,1.0979166031,1.097,3,-1.351,-2.462
113,1.0979781151,1.097,3,-1.431,-2.557
114,1.0980348587,1.097,3,-1.509,-2.651
115,1.0980883837,1.097,3,-1.588,-2.745
116,1.0981491804,1.097,3,-1.677,-2.856
117,1.0981955528,1.097,3,-1.751,-2.948
118,1.0982480049,1.097,3,-1.838,-3.058
119,1.0982961655,1.098,3,-1.923,-3.166
120,1.098341465,1.098,3,-2.006,-3.274
121,1.0983837843,1.098,3,-2.087,-3.382
122,1.0984214544,1.098,3,-2.16,-3.484
123,1.0984569788,1.098,3,-2.233,-3.587
124,1.098490715,1.098,3,-2.306,-3.691
125,1.0985219479,1.098,3,-2.374,-3.791
126,1.0985506773,1.098,3,-2.438,-3.888
127,1.0985784531,1.098,3,-2.503,-3.986
128,1.0986052752,1.098,3,-2.564,-4.079
129,1.0986052752,1.098,4,0.283,-0.52
130,1.0987946987,1.098,4,0.257,-0.551
131,1.0989847183,1.098,4,0.246,-0.563
132,1.0991771221,1.098,4,0.237,-0.573
133,1.0993508101,1.098,4,0.231,-0.579
134,1.0995262861,1.099,4,0.225,-0.583
135,1.0997213125,1.099,4,0.218,-0.588
136,1.0998940468,1.099,4,0.213,-0.592
137,1.1000680923,1.099,4,0.208,-0.596
138,1.1002411842,1.099,4,0.202,-0.599
139,1.1004327536,1.1,4,0.196,-0.604
140,1.1006146669,1.1,4,0.19,-0.608
141,1.100810051,1.1,4,0.184,-0.613
142,1.1009846926,1.1,4,0.179,-0.617
143,1.1011698246,1.1,4,0.173,-0.622
144,1.1013473272,1.1,4,0.167,-0.626
145,1.101385951,1.1,4,0.166,-0.627
146,1.1015797853,1.101,4,0.16,-0.632
147,1.1017645597,1.101,4,0.154,-0.637
148,1.1019637585,1.101,4,0.148,-0.642
149,1.1021476984,1.101,4,0.143,-0.647
150,1.1023335457,1.101,4,0.137,-0.652
151,1.1025204659,1.102,4,0.131,-0.658
152,1.1027065516,1.102,4,0.125,-0.664
153,1.1027228832,1.102,4,0.124,-0.665
154,1.1029031277,1.102,4,0.118,-0.671
155,1.1030856371,1.102,4,0.112,-0.678
156,1.1032725573,1.102,4,0.105,-0.686
157,1.1034574509,1.103,4,0.098,-0.695
158,1.1036410332,1.103,4,0.09,-0.705
159,1.1038235426,1.103,4,0.081,-0.715
160,1.1040041447,1.103,4,0.072,-0.727
161,1.1041841507,1.103,4,0.062,-0.739
162,1.1043756008,1.103,4,0.053,-0.75
163,1.1045585871,1.104,4,0.043,-0.765
164,1.1047445536,1.104,4,0.017,-0.799
165,1.1049287319,1.104,4,-0.04,-0.873
166,1.105047226,1.104,4,-0.117,-0.97
167,1.1050913334,1.104,4,-0.192,-1.061
168,1.1051087379,1.104,4,-0.27,-1.154
169,1.1051157713,1.104,4,-0.338,-1.235
