,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.27,12.506
1,0.0925232247,0.093,1,15.875,12.262
2,0.1000000015,0.1,1,14.826,11.75
3,0.1199999899,0.12,1,13.471,11.005
4,0.1400000006,0.14,1,12.742,10.523
5,0.1599999964,0.16,1,12.252,10.164
6,0.2000000179,0.2,1,11.562,9.623
7,0.25,0.25,1,10.952,9.119
8,0.3000000417,0.3,1,10.48,8.713
9,0.349999994,0.35,1,10.067,8.333
10,0.400000006,0.4,1,9.582,7.948
11,0.4275784791,0.427,1,9.235,7.697
12,0.4500000477,0.45,1,9.01,7.516
13,0.5,0.5,1,8.405,7.06
14,0.5500000715,0.55,1,7.725,6.574
15,0.6000000238,0.6,1,7.124,6.123
16,0.6481295228,0.648,1,6.608,5.721
17,0.6499999762,0.65,1,6.589,5.706
18,0.6793087721,0.679,1,6.306,5.481
19,0.6999999881,0.7,1,6.118,5.33
20,0.7117394805,0.712,1,6.017,5.249
21,0.7462614775,0.746,1,5.729,5.016
22,0.75,0.75,1,5.699,4.991
23,0.7671226263,0.767,1,5.564,4.877
24,0.8000000119,0.8,1,5.311,4.662
25,0.8331488371,0.833,1,5.062,4.446
26,0.8500000238,0.85,1,4.936,4.336
27,0.8663398623,0.866,1,4.815,4.231
28,0.8970450163,0.896,1,4.588,4.033
29,0.8999999762,0.899,1,4.566,4.014
30,0.9244482517,0.924,1,4.385,3.856
31,0.9476296902,0.947,1,4.212,3.705
32,0.9500000477,0.95,1,4.194,3.69
33,0.9598941803,0.96,1,4.12,3.626
34,0.9828813076,0.983,1,3.944,3.474
35,1.0,1.0,1,3.81,3.359
36,1.0040712357,1.004,1,3.779,3.332
37,1.0240513086,1.024,1,3.621,3.198
38,1.0425788164,1.042,1,3.473,3.072
39,1.0499999523,1.05,1,3.413,3.021
40,1.0627846718,1.062,1,3.312,2.935
41,1.0748400688,1.074,1,3.211,2.848
42,1.0859979391,1.085,1,3.114,2.762
43,1.0951366425,1.094,1,3.032,2.69
44,1.0975644588,1.097,1,3.011,2.67
45,1.1000000238,1.099,1,2.985,2.646
46,1.1111475229,1.11,1,2.884,2.549
47,1.117554307,1.117,1,2.81,2.485
48,1.1198238134,1.119,1,2.763,2.448
49,1.1199508905,1.119,1,2.76,2.445
50,1.1248841286,1.124,2,2.697,2.375
51,1.1332995892,1.133,2,2.602,2.27
52,1.1424406767,1.142,2,2.494,2.141
53,1.1485556364,1.148,2,2.416,2.029
54,1.1499999762,1.149,2,2.397,1.997
55,1.1506820917,1.15,2,2.388,1.982
56,1.1536043882,1.153,2,2.355,1.913
57,1.1563482285,1.156,2,2.328,1.845
58,1.1589989662,1.158,2,2.311,1.78
59,1.1615465879,1.161,2,2.315,1.727
60,1.1640053988,1.163,2,2.351,1.703
61,1.166918993,1.166,2,2.427,1.711
62,1.1703872681,1.17,2,2.417,1.639
63,1.1706187725,1.17,2,2.406,1.626
64,1.1722795963,1.172,3,2.309,1.516
65,1.173663497,1.173,3,2.216,1.413
66,1.1750696898,1.174,3,2.111,1.3
67,1.1763676405,1.176,3,2.005,1.187
68,1.1775722504,1.177,3,1.898,1.073
69,1.1787426472,1.178,3,1.787,0.956
70,1.1798137426,1.179,3,1.678,0.84
71,1.1807593107,1.18,3,1.574,0.731
72,1.1816722155,1.181,3,1.466,0.616
73,1.1825065613,1.182,3,1.359,0.502
74,1.1832633018,1.183,3,1.254,0.39
75,1.1839562654,1.183,3,1.15,0.279
76,1.1846131086,1.184,3,1.044,0.165
77,1.1852074862,1.185,3,0.94,0.054
78,1.1857637167,1.185,3,0.835,-0.059
79,1.186260581,1.186,3,0.735,-0.168
80,1.1867265701,1.186,3,0.634,-0.278
81,1.1871587038,1.187,3,0.533,-0.387
82,1.187569499,1.187,3,0.43,-0.5
83,1.1879405975,1.187,3,0.331,-0.608
84,1.1882991791,1.188,3,0.232,-0.718
85,1.1886485815,1.188,3,0.135,-0.824
86,1.1890547276,1.188,3,0.043,-0.926
87,1.1892066002,1.189,3,0.022,-0.948
88,1.1893173456,1.189,3,0.044,-0.923
89,1.1895362139,1.189,3,0.114,-0.845
90,1.1896291971,1.189,3,0.154,-0.8
91,1.1896730661,1.189,3,0.139,-0.816
92,1.1899408102,1.189,3,0.043,-0.923
93,1.1902107,1.19,3,-0.054,-1.03
94,1.1904588938,1.19,3,-0.147,-1.133
95,1.1906915903,1.19,3,-0.24,-1.237
96,1.1909077168,1.19,3,-0.332,-1.34
97,1.191110611,1.191,3,-0.424,-1.443
98,1.1912943125,1.191,3,-0.512,-1.543
99,1.1914668083,1.191,3,-0.601,-1.645
100,1.1916224957,1.191,3,-0.687,-1.743
101,1.1917681694,1.191,3,-0.773,-1.842
102,1.1919031143,1.191,3,-0.857,-1.938
103,1.1920280457,1.191,3,-0.939,-2.034
104,1.1921459436,1.192,3,-1.022,-2.131
105,1.1922528744,1.192,3,-1.102,-2.225
106,1.1923551559,1.192,3,-1.184,-2.321
107,1.19244802,1.192,3,-1.259,-2.412
108,1.1925370693,1.192,3,-1.334,-2.504
109,1.1926176548,1.192,3,-1.406,-2.593
110,1.1926938295,1.192,3,-1.478,-2.683
111,1.1927658319,1.192,3,-1.55,-2.773
112,1.1928478479,1.192,3,-1.635,-2.882
113,1.1929100752,1.192,3,-1.702,-2.969
114,1.1929816008,1.192,3,-1.785,-3.077
115,1.1930471659,1.192,3,-1.865,-3.183
116,1.1931079626,1.193,3,-1.942,-3.287
117,1.1931544542,1.193,3,-2.001,-3.371
118,1.1932067871,1.193,3,-2.068,-3.47
119,1.1932555437,1.193,3,-2.135,-3.569
120,1.1932938099,1.193,3,-2.191,-3.651
121,1.1933379173,1.193,3,-2.255,-3.75
122,1.1933783293,1.193,3,-2.316,-3.846
123,1.1934168339,1.193,3,-2.378,-3.942
124,1.1934529543,1.193,3,-2.435,-4.034
125,1.1934722662,1.193,3,-2.462,-4.08
126,1.1934722662,1.193,4,0.317,-0.522
127,1.1937581301,1.193,4,0.293,-0.551
128,1.1940126419,1.193,4,0.282,-0.563
129,1.1942679882,1.194,4,0.274,-0.572
130,1.1945303679,1.194,4,0.267,-0.578
131,1.1947909594,1.194,4,0.262,-0.582
132,1.1950519085,1.194,4,0.257,-0.586
133,1.1953344345,1.195,4,0.251,-0.59
134,1.1955929995,1.195,4,0.246,-0.594
135,1.1958662271,1.195,4,0.241,-0.598
136,1.1961371899,1.196,4,0.235,-0.603
137,1.1964019537,1.196,4,0.23,-0.607
138,1.1966729164,1.196,4,0.224,-0.612
139,1.196932435,1.196,4,0.218,-0.617
140,1.1972084045,1.197,4,0.212,-0.622
141,1.1974833012,1.197,4,0.206,-0.626
142,1.1975759268,1.197,4,0.204,-0.628
143,1.1978136301,1.197,4,0.199,-0.633
144,1.1980844736,1.198,4,0.194,-0.638
145,1.198379755,1.198,4,0.187,-0.643
146,1.1986687183,1.198,4,0.181,-0.649
147,1.198949337,1.198,4,0.175,-0.655
148,1.1992396116,1.199,4,0.169,-0.661
149,1.1995350122,1.199,4,0.162,-0.668
150,1.1995899677,1.199,4,0.161,-0.669
151,1.1998417377,1.199,4,0.155,-0.675
152,1.2000000477,1.2,4,0.151,-0.679
153,1.2002106905,1.2,4,0.146,-0.685
154,1.2005033493,1.2,4,0.139,-0.693
155,1.2007983923,1.2,4,0.13,-0.703
156,1.2010781765,1.201,4,0.122,-0.713
157,1.2013645172,1.201,4,0.113,-0.724
158,1.2016494274,1.201,4,0.103,-0.737
159,1.201931715,1.201,4,0.092,-0.75
160,1.2022145987,1.202,4,0.084,-0.759
161,1.2025130987,1.202,4,0.066,-0.784
162,1.2027952671,1.202,4,0.025,-0.836
163,1.2030308247,1.203,4,-0.05,-0.929
164,1.2031269073,1.203,4,-0.13,-1.027
165,1.2031626701,1.203,4,-0.21,-1.122
166,1.2031774521,1.203,4,-0.287,-1.214
167,1.2031848431,1.203,7,-0.359,-1.299
168,1.2031872272,1.203,7,-0.396,-1.342
