,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,17.049,12.998
1,0.0906270519,0.091,1,16.964,12.947
2,0.0998479277,0.1,1,15.805,12.13
3,0.1195437908,0.119,1,14.318,11.319
4,0.1270966828,0.127,1,13.961,11.114
5,0.1392396539,0.139,1,13.46,10.813
6,0.1589355022,0.159,1,12.884,10.434
7,0.1983272284,0.198,1,12.09,9.867
8,0.2475668788,0.247,1,11.422,9.344
9,0.2968065441,0.296,1,10.918,8.932
10,0.3460461497,0.346,1,10.469,8.552
11,0.3952858448,0.395,1,9.991,8.169
12,0.4445254803,0.444,1,9.509,7.74
13,0.4937651157,0.493,1,8.827,7.287
14,0.5430048108,0.542,1,8.192,6.831
15,0.5922443867,0.592,1,7.542,6.375
16,0.6029112339,0.602,1,7.404,6.275
17,0.6414839625,0.641,1,6.937,5.933
18,0.6432185769,0.643,1,6.918,5.918
19,0.6835765839,0.683,1,6.488,5.588
20,0.6907237768,0.691,1,6.418,5.533
21,0.7077726722,0.708,1,6.252,5.403
22,0.7348311543,0.735,1,6.005,5.207
23,0.7402820587,0.74,1,5.957,5.169
24,0.7596046925,0.759,1,5.795,5.036
25,0.782466948,0.782,1,5.608,4.881
26,0.789840281,0.789,1,5.548,4.832
27,0.7911611795,0.791,1,5.538,4.824
28,0.8148382306,0.814,1,5.351,4.665
29,0.836856544,0.836,1,5.181,4.52
30,0.8393986225,0.839,1,5.161,4.503
31,0.8408531547,0.84,1,5.15,4.494
32,0.8635810614,0.863,1,4.978,4.344
33,0.884736836,0.884,1,4.819,4.204
34,0.8889567852,0.888,1,4.787,4.176
35,0.9016485214,0.901,1,4.691,4.091
36,0.9174636006,0.917,1,4.572,3.984
37,0.9316092134,0.931,1,4.464,3.889
38,0.9385151267,0.938,1,4.411,3.841
39,0.9452599883,0.944,1,4.359,3.795
40,0.9691970944,0.969,1,4.173,3.628
41,0.9880734086,0.988,1,4.023,3.493
42,0.9989766479,0.999,1,3.937,3.416
43,1.0142610073,1.014,1,3.815,3.305
44,1.0286927223,1.028,1,3.701,3.201
45,1.0376316309,1.037,1,3.629,3.134
46,1.0423184633,1.042,1,3.592,3.1
47,1.0536831617,1.053,1,3.495,3.011
48,1.062993288,1.062,1,3.413,2.934
49,1.074285984,1.073,1,3.309,2.836
50,1.0750693083,1.074,1,3.302,2.829
51,1.0836080313,1.083,1,3.218,2.747
52,1.0871899128,1.086,1,3.182,2.711
53,1.0918705463,1.091,1,3.131,2.659
54,1.0950331688,1.094,1,3.092,2.62
55,1.0973637104,1.096,2,3.066,2.593
