,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.696,12.244
1,0.0972724855,0.097,1,14.631,11.747
2,0.1000000015,0.1,1,14.282,11.573
3,0.1145610884,0.115,1,13.355,11.03
4,0.1199999973,0.12,1,13.06,10.843
5,0.1400000006,0.14,1,12.411,10.379
6,0.1599999964,0.16,1,11.962,10.03
7,0.2000000179,0.2,1,11.302,9.495
8,0.25,0.25,1,10.714,8.98
9,0.3000000417,0.3,1,10.238,8.567
10,0.349999994,0.35,1,9.797,8.201
11,0.400000006,0.4,1,9.34,7.837
12,0.4500000179,0.45,1,8.821,7.42
13,0.5,0.5,1,8.185,6.949
14,0.5500000715,0.55,1,7.526,6.461
15,0.6000000238,0.6,1,6.966,6.021
16,0.636762917,0.637,1,6.58,5.715
17,0.6499999762,0.65,1,6.449,5.61
18,0.6568972468,0.657,1,6.383,5.557
19,0.6847206354,0.685,1,6.125,5.348
20,0.6999999881,0.7,1,5.988,5.238
21,0.72273314,0.723,1,5.794,5.078
22,0.7483128309,0.748,1,5.58,4.902
23,0.75,0.75,1,5.566,4.891
24,0.7541290522,0.754,1,5.532,4.862
25,0.7810052037,0.781,1,5.315,4.674
26,0.8000000119,0.8,1,5.162,4.542
27,0.8127554059,0.813,1,5.06,4.454
28,0.8401131034,0.84,1,4.841,4.263
29,0.8500000238,0.85,1,4.761,4.193
30,0.8689951897,0.868,1,4.609,4.061
31,0.8911342025,0.891,1,4.43,3.905
32,0.8999999762,0.899,1,4.356,3.841
33,0.9114735723,0.911,1,4.262,3.759
34,0.9299957752,0.929,1,4.105,3.623
35,0.9459003806,0.945,1,3.966,3.502
36,0.9499999881,0.95,1,3.929,3.47
37,0.9595248103,0.959,1,3.844,3.398
38,0.9726908207,0.973,1,3.723,3.296
39,0.98508811,0.985,1,3.608,3.197
40,0.9973130226,0.997,1,3.492,3.098
41,1.0,1.0,1,3.467,3.076
42,1.00524652,1.005,1,3.417,3.034
43,1.0162734985,1.016,1,3.307,2.941
44,1.0257277489,1.026,1,3.207,2.855
45,1.0382560492,1.038,1,3.064,2.73
46,1.0399284363,1.04,1,3.045,2.712
47,1.0457706451,1.045,1,2.97,2.642
48,1.0499999523,1.05,1,2.917,2.591
49,1.0518134832,1.051,1,2.893,2.569
50,1.0539271832,1.053,1,2.863,2.539
51,1.056196332,1.056,2,2.83,2.505
52,1.0610260963,1.06,2,2.761,2.431
53,1.066262126,1.066,2,2.683,2.342
54,1.0719558001,1.071,2,2.595,2.234
55,1.0766929388,1.076,2,2.517,2.124
56,1.0799716711,1.079,2,2.461,2.033
57,1.0819401741,1.081,2,2.427,1.968
58,1.0834158659,1.083,2,2.403,1.914
59,1.084493041,1.084,2,2.388,1.872
60,1.085567832,1.085,2,2.375,1.83
61,1.0864491463,1.086,2,2.369,1.796
62,1.0872455835,1.087,2,2.366,1.768
63,1.0880537033,1.087,2,2.373,1.746
64,1.0888406038,1.088,2,2.387,1.732
65,1.0896350145,1.089,2,2.409,1.727
66,1.0904557705,1.09,2,2.434,1.726
67,1.0913050175,1.091,2,2.445,1.712
68,1.0925705433,1.092,2,2.402,1.643
69,1.0931364298,1.092,2,2.372,1.604
70,1.0936793089,1.093,2,2.324,1.549
71,1.0947496891,1.094,3,2.223,1.437
72,1.095631361,1.095,3,2.128,1.334
73,1.0964655876,1.096,3,2.031,1.229
74,1.0972723961,1.096,3,1.928,1.121
75,1.0980283022,1.097,3,1.826,1.012
76,1.098788023,1.098,3,1.716,0.896
77,1.0994775295,1.099,3,1.608,0.783
78,1.1000000238,1.099,3,1.522,0.691
79,1.1001168489,1.099,3,1.503,0.671
80,1.1007112265,1.1,3,1.401,0.564
81,1.1012749672,1.101,3,1.299,0.455
82,1.1018270254,1.101,3,1.19,0.34
83,1.1022974253,1.102,3,1.091,0.234
84,1.102747798,1.102,3,0.988,0.125
85,1.1031726599,1.102,3,0.885,0.015
86,1.1035605669,1.103,3,0.784,-0.094
87,1.1039220095,1.103,3,0.682,-0.203
88,1.1042556763,1.104,3,0.582,-0.311
89,1.1045595407,1.104,3,0.484,-0.417
90,1.1048496962,1.104,3,0.384,-0.525
91,1.1051149368,1.104,3,0.287,-0.631
92,1.1053640842,1.105,3,0.19,-0.737
93,1.1055934429,1.105,3,0.095,-0.841
94,1.1058123112,1.105,3,0.001,-0.944
95,1.1060158014,1.105,3,-0.084,-1.038
96,1.1062483788,1.106,3,-0.162,-1.124
97,1.1063592434,1.106,3,-0.192,-1.156
98,1.1064987183,1.106,3,-0.153,-1.113
99,1.1066228151,1.106,3,-0.06,-1.009
100,1.1066317558,1.106,3,-0.056,-1.003
101,1.1067945957,1.106,3,-0.145,-1.102
102,1.106970191,1.106,3,-0.243,-1.21
103,1.1071327925,1.106,3,-0.337,-1.315
104,1.1072832346,1.107,3,-0.431,-1.419
105,1.1074249744,1.107,3,-0.524,-1.524
106,1.1075555086,1.107,3,-0.616,-1.627
107,1.1076792479,1.107,3,-0.707,-1.73
108,1.1077927351,1.107,3,-0.796,-1.831
109,1.1078987122,1.107,3,-0.885,-1.933
110,1.1079955101,1.107,3,-0.972,-2.032
111,1.1080875397,1.107,3,-1.059,-2.132
112,1.1081720591,1.107,3,-1.144,-2.231
113,1.1082502604,1.108,3,-1.226,-2.327
114,1.1083247662,1.108,3,-1.31,-2.426
115,1.108392477,1.108,3,-1.39,-2.521
116,1.1084574461,1.108,3,-1.472,-2.619
117,1.1085299253,1.108,3,-1.567,-2.736
118,1.1085851192,1.108,3,-1.641,-2.829
119,1.1086485386,1.108,3,-1.734,-2.944
120,1.1087058783,1.108,3,-1.822,-3.056
121,1.1087596416,1.108,3,-1.909,-3.169
122,1.1088004112,1.108,3,-1.978,-3.259
123,1.1088461876,1.108,3,-2.06,-3.368
124,1.1088893414,1.108,3,-2.137,-3.477
125,1.1089295149,1.108,3,-2.213,-3.585
126,1.1089668274,1.108,3,-2.285,-3.691
127,1.1090010405,1.108,3,-2.354,-3.793
128,1.1090335846,1.108,3,-2.422,-3.897
129,1.1090646982,1.108,3,-2.49,-4.0
130,1.1090897322,1.108,3,-2.54,-4.08
131,1.1090897322,1.108,4,0.292,-0.518
132,1.1092976332,1.109,4,0.266,-0.549
133,1.1095048189,1.109,4,0.255,-0.562
134,1.1097151041,1.109,4,0.246,-0.571
135,1.1099265814,1.109,4,0.238,-0.577
136,1.1101400852,1.109,4,0.232,-0.583
137,1.1103454828,1.11,4,0.226,-0.587
138,1.1105538607,1.11,4,0.22,-0.591
139,1.1107633114,1.11,4,0.214,-0.595
140,1.1109791994,1.11,4,0.208,-0.6
141,1.1111758947,1.11,4,0.202,-0.604
142,1.1113882065,1.111,4,0.196,-0.609
143,1.1115996838,1.111,4,0.19,-0.614
144,1.1118102074,1.111,4,0.184,-0.619
145,1.1120135784,1.111,4,0.178,-0.623
146,1.1120609045,1.111,4,0.177,-0.624
147,1.1121031046,1.111,4,0.176,-0.626
148,1.1123150587,1.112,4,0.169,-0.631
149,1.1125171185,1.112,4,0.164,-0.636
150,1.1127347946,1.112,4,0.157,-0.641
151,1.1129359007,1.112,4,0.151,-0.646
152,1.1131389141,1.112,4,0.146,-0.652
153,1.1133432388,1.113,4,0.139,-0.658
154,1.1135464907,1.113,4,0.133,-0.664
155,1.1135642529,1.113,4,0.133,-0.665
156,1.1136749983,1.113,4,0.129,-0.668
