,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.136,12.421
1,0.1000000015,0.1,1,14.693,11.707
2,0.1199999973,0.12,1,13.369,10.966
3,0.1400000006,0.14,1,12.663,10.489
4,0.1599999964,0.16,1,12.181,10.132
5,0.2000000179,0.2,1,11.498,9.593
6,0.25,0.25,1,10.892,9.087
7,0.3000000417,0.3,1,10.426,8.677
8,0.349999994,0.35,1,10.021,8.303
9,0.400000006,0.4,1,9.515,7.919
10,0.4500000179,0.45,1,8.966,7.493
11,0.5,0.5,1,8.352,7.033
12,0.5500000715,0.55,1,7.673,6.544
13,0.6000000238,0.6,1,7.08,6.094
14,0.6199669838,0.62,1,6.859,5.922
15,0.6499999762,0.65,1,6.549,5.678
16,0.6598687768,0.66,1,6.45,5.599
17,0.6922008395,0.692,1,6.148,5.357
18,0.6999999881,0.7,1,6.079,5.302
19,0.7253786922,0.725,1,5.861,5.125
20,0.75,0.75,1,5.657,4.959
21,0.7779130936,0.778,1,5.436,4.77
22,0.8000000119,0.8,1,5.264,4.622
23,0.8101357818,0.81,1,5.185,4.555
24,0.8419188857,0.841,1,4.941,4.342
25,0.8500000238,0.85,1,4.879,4.287
26,0.8726184368,0.872,1,4.706,4.137
27,0.8994505405,0.899,1,4.501,3.957
28,0.8999999762,0.899,1,4.496,3.954
29,0.9221109152,0.922,1,4.325,3.805
30,0.942856729,0.942,1,4.162,3.663
31,0.9500000477,0.95,1,4.105,3.613
32,0.9565942287,0.956,1,4.053,3.568
33,0.9765195251,0.976,1,3.89,3.427
34,0.9944435358,0.995,1,3.74,3.298
35,1.0,1.0,1,3.693,3.257
36,1.0154578686,1.015,1,3.563,3.146
37,1.0319901705,1.032,1,3.421,3.025
38,1.0458794832,1.045,1,3.298,2.918
39,1.0499999523,1.05,1,3.26,2.885
40,1.0595443249,1.059,1,3.17,2.806
41,1.0680781603,1.067,1,3.088,2.732
42,1.0703448057,1.07,1,3.066,2.711
43,1.0741821527,1.074,1,3.024,2.672
44,1.0802196264,1.08,1,2.956,2.608
45,1.0859566927,1.085,1,2.887,2.543
46,1.0896980762,1.089,1,2.836,2.493
47,1.0939718485,1.093,1,2.785,2.439
48,1.1000000238,1.099,2,2.713,2.362
49,1.1016294956,1.101,2,2.693,2.341
50,1.1108443737,1.11,2,2.571,2.197
51,1.1167581081,1.116,2,2.487,2.081
52,1.1208562851,1.12,2,2.431,1.981
53,1.1232129335,1.123,2,2.402,1.916
54,1.1250195503,1.124,2,2.384,1.864
55,1.1263808012,1.126,2,2.378,1.826
56,1.1278339624,1.127,2,2.382,1.792
57,1.1290788651,1.128,2,2.393,1.767
58,1.1301461458,1.129,2,2.415,1.759
59,1.1311091185,1.13,2,2.439,1.755
60,1.1320061684,1.131,2,2.463,1.753
61,1.1328847408,1.132,2,2.464,1.734
62,1.1339776516,1.133,2,2.455,1.704
63,1.1352456808,1.135,2,2.432,1.657
64,1.1353996992,1.135,2,2.429,1.651
65,1.13560462,1.135,2,2.416,1.636
66,1.1370334625,1.136,3,2.312,1.519
67,1.1382206678,1.137,3,2.213,1.41
68,1.1393289566,1.139,3,2.111,1.301
69,1.1404448748,1.14,3,1.999,1.181
70,1.1414680481,1.141,3,1.888,1.064
71,1.1423434019,1.142,3,1.786,0.956
72,1.143263936,1.143,3,1.671,0.835
73,1.1440585852,1.143,3,1.565,0.723
74,1.1448078156,1.144,3,1.457,0.608
75,1.1454759836,1.145,3,1.353,0.497
76,1.1461248398,1.145,3,1.243,0.38
77,1.1466866732,1.146,3,1.141,0.271
78,1.1472427845,1.146,3,1.031,0.154
79,1.1477178335,1.147,3,0.93,0.045
80,1.1481770277,1.147,3,0.825,-0.067
81,1.1486020088,1.148,3,0.721,-0.18
82,1.1489839554,1.148,3,0.621,-0.289
83,1.1493479013,1.149,3,0.518,-0.401
84,1.1496750116,1.149,3,0.419,-0.509
85,1.1499936581,1.149,3,0.316,-0.622
86,1.1499999762,1.149,3,0.314,-0.624
87,1.1500684023,1.149,3,0.293,-0.647
88,1.1503868103,1.15,3,0.19,-0.76
89,1.1506968737,1.15,3,0.092,-0.868
90,1.1510574818,1.15,3,-0.001,-0.971
91,1.1511921883,1.151,3,-0.028,-1.001
92,1.1512885094,1.151,3,-0.014,-0.985
93,1.1514786482,1.151,3,0.066,-0.894
94,1.1515593529,1.151,3,0.109,-0.847
95,1.1515969038,1.151,3,0.093,-0.864
96,1.1518259048,1.151,3,-0.003,-0.97
97,1.1520568132,1.151,3,-0.1,-1.077
98,1.152269125,1.152,3,-0.193,-1.181
