,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.71,12.841
1,0.0921277255,0.092,1,16.416,12.612
2,0.0994440019,0.099,1,15.433,11.964
3,0.1183319911,0.118,1,14.013,11.225
4,0.1372199953,0.137,1,13.206,10.735
5,0.1561079919,0.156,1,12.665,10.368
6,0.1938839853,0.193,1,11.935,9.827
7,0.241103977,0.24,1,11.302,9.324
8,0.2883239686,0.287,1,10.814,8.922
9,0.3145146072,0.314,1,10.57,8.713
10,0.3355439305,0.335,1,10.387,8.556
11,0.3827639222,0.382,1,9.962,8.187
12,0.3854137063,0.385,1,9.935,8.163
13,0.4299839735,0.429,1,9.474,7.789
14,0.4772039056,0.476,1,8.873,7.364
15,0.5244239569,0.524,1,8.283,6.932
16,0.571643889,0.571,1,7.654,6.487
17,0.618863821,0.618,1,7.078,6.064
18,0.6660839319,0.666,1,6.574,5.675
19,0.6740685105,0.674,1,6.496,5.614
20,0.7124613523,0.712,1,6.139,5.331
21,0.7144688368,0.714,1,6.121,5.317
22,0.7460574508,0.746,1,5.855,5.103
23,0.7628538609,0.762,1,5.72,4.993
24,0.7747336626,0.774,1,5.627,4.916
25,0.8060513735,0.805,1,5.389,4.715
26,0.8112388253,0.81,1,5.351,4.683
27,0.8299923539,0.829,1,5.212,4.563
28,0.8596236706,0.859,1,4.998,4.378
29,0.8710278869,0.87,1,4.916,4.306
30,0.8929109573,0.892,1,4.761,4.17
31,0.9080086946,0.907,1,4.653,4.076
32,0.9138908982,0.913,1,4.611,4.04
33,0.9327347875,0.932,1,4.478,3.923
34,0.9504674673,0.949,1,4.352,3.812
35,0.9563935995,0.955,1,4.31,3.776
36,0.965516746,0.965,1,4.246,3.719
37,0.992164433,0.991,1,4.056,3.553
38,1.0047785044,1.004,1,3.964,3.473
39,1.0152415037,1.014,1,3.889,3.408
40,1.0355864763,1.035,1,3.741,3.28
41,1.0531635284,1.052,1,3.613,3.168
42,1.0564683676,1.055,1,3.589,3.148
43,1.0735288858,1.072,1,3.465,3.04
44,1.089099884,1.088,1,3.352,2.94
45,1.1015484333,1.1,1,3.259,2.857
46,1.1067615747,1.105,1,3.223,2.825
47,1.1231634617,1.122,1,3.113,2.721
48,1.1366505623,1.135,1,3.023,2.632
49,1.1402416229,1.139,1,2.999,2.608
50,1.1449368,1.144,1,2.957,2.569
51,1.1499334574,1.149,1,2.91,2.527
52,1.1557501554,1.154,1,2.859,2.48
53,1.1608729362,1.16,1,2.788,2.426
54,1.1626682281,1.161,1,2.745,2.396
55,1.1634793282,1.162,1,2.715,2.375
56,1.1638134718,1.163,1,2.701,2.365
57,1.1694841385,1.168,2,2.632,2.273
58,1.179415822,1.178,2,2.537,2.152
59,1.1880164146,1.187,2,2.455,2.035
60,1.1946753263,1.193,2,2.401,1.935
61,1.1983183622,1.197,2,2.383,1.88
62,1.2018276453,1.201,2,2.379,1.835
63,1.2044117451,1.203,2,2.39,1.809
64,1.2076663971,1.207,2,2.426,1.789
65,1.2121824026,1.211,2,2.508,1.786
66,1.2169684172,1.216,2,2.503,1.709
67,1.2175345421,1.216,3,2.478,1.68
68,1.2197426558,1.219,3,2.368,1.556
69,1.2215147018,1.22,3,2.264,1.442
70,1.2232695818,1.222,3,2.149,1.32
71,1.2247571945,1.224,3,2.044,1.208
72,1.2262136936,1.225,3,1.934,1.091
73,1.2275459766,1.226,3,1.825,0.975
74,1.2287834883,1.228,3,1.714,0.858
75,1.229898572,1.229,3,1.607,0.743
76,1.2309632301,1.23,3,1.495,0.624
77,1.2318673134,1.231,3,1.393,0.515
78,1.2326972485,1.232,3,1.291,0.406
79,1.2334810495,1.232,3,1.187,0.295
80,1.2341798544,1.233,3,1.088,0.187
81,1.2348495722,1.234,3,0.985,0.076
82,1.2354233265,1.234,3,0.891,-0.026
83,1.2359801531,1.235,3,0.792,-0.134
84,1.2364765406,1.235,3,0.698,-0.236
85,1.2369369268,1.236,3,0.605,-0.338
86,1.2373770475,1.236,3,0.511,-0.441
87,1.2377810478,1.237,3,0.423,-0.539
88,1.2381685972,1.237,3,0.337,-0.634
89,1.2385923862,1.238,3,0.254,-0.725
90,1.238889575,1.238,3,0.22,-0.762
91,1.2390328646,1.238,3,0.246,-0.732
92,1.2393158674,1.238,3,0.309,-0.661
93,1.2394361496,1.238,3,0.35,-0.616
94,1.2395894527,1.239,3,0.309,-0.661
95,1.2399406433,1.239,3,0.21,-0.771
96,1.2402677536,1.239,3,0.117,-0.874
97,1.2405759096,1.24,3,0.024,-0.978
98,1.2408682108,1.24,3,-0.068,-1.081
99,1.2411420345,1.24,3,-0.16,-1.184
100,1.2413878441,1.24,3,-0.248,-1.284
101,1.2416193485,1.241,3,-0.338,-1.385
102,1.2418315411,1.241,3,-0.426,-1.486
103,1.2420281172,1.241,3,-0.512,-1.585
104,1.2422099113,1.241,3,-0.596,-1.683
105,1.2423807383,1.241,3,-0.681,-1.782
106,1.2425364256,1.242,3,-0.764,-1.878
107,1.2426810265,1.242,3,-0.847,-1.975
108,1.2428147793,1.242,3,-0.927,-2.069
109,1.2429378033,1.242,3,-1.003,-2.161
