,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.248,12.124
1,0.0901777297,0.09,1,15.219,12.111
2,0.0998866335,0.1,1,13.852,11.432
3,0.1000000015,0.1,1,13.838,11.424
4,0.1199999973,0.12,1,12.723,10.701
5,0.1400000006,0.14,1,12.122,10.245
6,0.1599999964,0.16,1,11.69,9.899
7,0.2000000179,0.2,1,11.066,9.356
8,0.25,0.25,1,10.422,8.828
9,0.3000000417,0.3,1,9.933,8.417
10,0.3460687697,0.346,1,9.582,8.108
11,0.3499999642,0.35,1,9.554,8.084
12,0.3721523285,0.372,1,9.36,7.921
13,0.400000006,0.4,1,9.135,7.733
14,0.4500000179,0.45,1,8.616,7.321
15,0.5,0.5,1,8.017,6.867
16,0.5077534914,0.508,1,7.92,6.793
17,0.5500000715,0.55,1,7.425,6.408
18,0.6000000238,0.6,1,6.895,5.981
19,0.6065990925,0.606,1,6.826,5.926
20,0.645838201,0.646,1,6.44,5.615
21,0.6499999762,0.65,1,6.401,5.583
22,0.6642499566,0.664,1,6.269,5.476
23,0.6925715208,0.693,1,6.017,5.272
24,0.6999999285,0.7,1,5.953,5.219
25,0.702347517,0.702,1,5.933,5.203
26,0.7309041619,0.731,1,5.693,5.005
27,0.75,0.75,1,5.536,4.875
28,0.7628401518,0.763,1,5.432,4.786
29,0.7902205586,0.79,1,5.213,4.597
30,0.8000000119,0.8,1,5.135,4.529
31,0.8225370646,0.822,1,4.955,4.375
32,0.8500000238,0.85,1,4.736,4.186
33,0.8532299995,0.853,1,4.711,4.164
34,0.8800853491,0.88,1,4.497,3.98
35,0.8999999762,0.899,1,4.336,3.842
36,0.90285182,0.902,1,4.313,3.823
37,0.9237987399,0.923,1,4.141,3.676
38,0.942833066,0.942,1,3.979,3.539
39,0.9499999881,0.95,1,3.916,3.486
40,0.9576802254,0.957,1,3.849,3.432
41,0.9733065367,0.973,1,3.709,3.317
42,0.9869453907,0.987,1,3.583,3.213
43,0.9997924566,1.0,1,3.462,3.115
44,1.0,1.0,1,3.46,3.114
45,1.0070968866,1.007,1,3.392,3.06
46,1.0200343132,1.02,1,3.266,2.959
47,1.0313700438,1.031,1,3.152,2.866
48,1.041089654,1.041,1,3.046,2.778
49,1.0499999523,1.05,1,2.942,2.69
50,1.0528588295,1.052,1,2.91,2.662
51,1.0540959835,1.054,1,2.896,2.649
52,1.0613678694,1.061,1,2.8,2.561
53,1.0631529093,1.063,1,2.776,2.539
54,1.0657612085,1.065,1,2.741,2.505
55,1.0712566376,1.071,2,2.667,2.432
56,1.0771366358,1.076,2,2.583,2.345
57,1.0834488869,1.083,2,2.484,2.233
58,1.0886414051,1.088,2,2.394,2.119
59,1.0922062397,1.091,2,2.327,2.02
60,1.0943353176,1.094,2,2.284,1.948
61,1.0959261656,1.095,2,2.252,1.884
62,1.0970846415,1.096,2,2.229,1.83
63,1.0982379913,1.097,2,2.209,1.769
64,1.0991822481,1.098,2,2.193,1.715
65,1.1000000238,1.099,2,2.183,1.668
66,1.1000378132,1.099,2,2.182,1.666
67,1.1009817123,1.1,2,2.176,1.617
68,1.1018787622,1.101,2,2.177,1.578
69,1.1027632952,1.102,2,2.189,1.549
70,1.1036556959,1.103,2,2.212,1.535
71,1.1045570374,1.104,2,2.238,1.528
72,1.1058604717,1.105,2,2.225,1.48
73,1.106428504,1.106,2,2.196,1.44
74,1.1069629192,1.106,3,2.155,1.391
75,1.1080189943,1.107,3,2.055,1.277
76,1.1088914871,1.108,3,1.957,1.172
77,1.1097191572,1.109,3,1.857,1.064
78,1.1105216742,1.11,3,1.753,0.953
79,1.1112753153,1.111,3,1.648,0.843
80,1.1120345592,1.111,3,1.535,0.724
81,1.1127250195,1.112,3,1.426,0.609
82,1.1133627892,1.113,3,1.319,0.496
83,1.1139405966,1.113,3,1.214,0.386
84,1.1144887209,1.114,3,1.108,0.274
85,1.1150255203,1.114,3,0.997,0.156
86,1.1154830456,1.115,3,0.895,0.048
87,1.1159210205,1.115,3,0.791,-0.063
88,1.1163343191,1.116,3,0.685,-0.176
89,1.1167116165,1.116,3,0.581,-0.287
90,1.1170632839,1.116,3,0.477,-0.398
91,1.1173878908,1.117,3,0.373,-0.509
92,1.1176836491,1.117,3,0.272,-0.618
93,1.1179659367,1.117,3,0.17,-0.728
94,1.1182240248,1.118,3,0.07,-0.836
95,1.1184666157,1.118,3,-0.029,-0.944
96,1.1186897755,1.118,3,-0.127,-1.05
97,1.1189028025,1.118,3,-0.226,-1.158
98,1.1191008091,1.118,3,-0.319,-1.261
99,1.1193271875,1.119,3,-0.411,-1.361
100,1.1194351912,1.119,3,-0.438,-1.39
101,1.1195585728,1.119,3,-0.389,-1.335
102,1.1196683645,1.119,3,-0.306,-1.243
103,1.1196762323,1.119,3,-0.3,-1.237
104,1.1198246479,1.119,3,-0.391,-1.337
105,1.1199845076,1.119,3,-0.489,-1.444
106,1.1201325655,1.119,3,-0.583,-1.548
107,1.1202696562,1.12,3,-0.674,-1.649
108,1.1203986406,1.12,3,-0.765,-1.751
109,1.1205174923,1.12,3,-0.854,-1.85
110,1.1206302643,1.12,3,-0.944,-1.95
111,1.1207336187,1.12,3,-1.031,-2.049
112,1.1208300591,1.12,3,-1.116,-2.145
113,1.1209181547,1.12,3,-1.199,-2.239
114,1.1210019588,1.12,3,-1.282,-2.334
115,1.1210788488,1.12,3,-1.363,-2.427
116,1.1211500168,1.12,3,-1.442,-2.519
117,1.1212179661,1.121,3,-1.522,-2.612
118,1.1212794781,1.121,3,-1.596,-2.7
119,1.1213386059,1.121,3,-1.672,-2.791
120,1.1214045286,1.121,3,-1.761,-2.898
121,1.1214547157,1.121,3,-1.833,-2.985
122,1.1215125322,1.121,3,-1.922,-3.092
123,1.1215647459,1.121,3,-2.004,-3.193
124,1.1216136217,1.121,3,-2.083,-3.294
125,1.1216506958,1.121,3,-2.147,-3.375
126,1.1216924191,1.121,3,-2.221,-3.471
127,1.1217316389,1.121,3,-2.293,-3.567
128,1.1217682362,1.121,3,-2.361,-3.66
129,1.1218022108,1.121,3,-2.426,-3.752
130,1.1218333244,1.121,3,-2.489,-3.84
131,1.1218628883,1.121,3,-2.55,-3.928
132,1.1218912601,1.121,3,-2.609,-4.012
133,1.1219140291,1.121,3,-2.653,-4.078
134,1.1219140291,1.121,4,0.225,-0.556
135,1.1221313477,1.121,4,0.199,-0.587
136,1.1223495007,1.121,4,0.189,-0.6
137,1.1225702763,1.122,4,0.179,-0.609
138,1.1227695942,1.122,4,0.172,-0.616
139,1.1229709387,1.122,4,0.165,-0.622
140,1.1231948137,1.122,4,0.157,-0.628
141,1.1233930588,1.122,4,0.15,-0.633
142,1.1235927343,1.123,4,0.143,-0.638
143,1.1237914562,1.123,4,0.137,-0.643
144,1.1240115166,1.123,4,0.13,-0.648
145,1.124220252,1.123,4,0.123,-0.653
146,1.1244446039,1.124,4,0.115,-0.659
147,1.1246449947,1.124,4,0.109,-0.664
148,1.1248577833,1.124,4,0.102,-0.669
149,1.125061512,1.124,4,0.096,-0.674
150,1.1251045465,1.124,4,0.095,-0.675
151,1.1253205538,1.124,4,0.088,-0.68
152,1.1255265474,1.125,4,0.082,-0.685
153,1.1257485151,1.125,4,0.075,-0.691
154,1.1259535551,1.125,4,0.069,-0.696
155,1.1261606216,1.125,4,0.063,-0.702
156,1.1263691187,1.125,4,0.056,-0.708
157,1.1265766621,1.126,4,0.05,-0.714
158,1.1265947819,1.126,4,0.05,-0.715
159,1.1267933846,1.126,4,0.044,-0.721
160,1.1269940138,1.126,4,0.037,-0.728
161,1.1271996498,1.126,4,0.03,-0.737
162,1.1274026632,1.126,4,0.023,-0.745
163,1.1276041269,1.127,4,0.016,-0.755
164,1.1278041601,1.127,4,0.008,-0.765
165,1.1280021667,1.127,4,-0.001,-0.776
166,1.1281992197,1.127,4,-0.01,-0.789
167,1.1284087896,1.127,4,-0.02,-0.803
168,1.1286087036,1.128,4,-0.031,-0.818
169,1.1288118362,1.128,4,-0.053,-0.85
170,1.1290128231,1.128,4,-0.1,-0.915
171,1.129142046,1.128,4,-0.169,-1.003
172,1.1291902065,1.128,4,-0.234,-1.084
173,1.1292091608,1.128,4,-0.301,-1.165
174,1.1292167902,1.128,4,-0.359,-1.234
175,1.129218936,1.128,7,-0.381,-1.26
176,1.1292204857,1.128,7,-0.411,-1.294
177,1.1292248964,1.128,7,-0.512,-1.41
178,1.1292285919,1.128,7,-0.596,-1.506
179,1.1292321682,1.128,7,-0.674,-1.594
180,1.1292375326,1.128,7,-0.728,-1.655
181,1.1292476654,1.128,7,-0.662,-1.579
182,1.1292673349,1.128,7,-0.6,-1.509
183,1.129355073,1.127,7,-0.633,-1.547
184,1.1294112206,1.126,7,-0.714,-1.64
185,1.1294728518,1.126,7,-0.814,-1.754
186,1.1295311451,1.125,7,-0.919,-1.874
187,1.1295835972,1.124,7,-1.014,-1.983
188,1.129630208,1.122,7,-1.108,-2.09
189,1.1296715736,1.121,7,-1.201,-2.196
190,1.1297080517,1.119,7,-1.292,-2.301
191,1.1297405958,1.118,7,-1.368,-2.405
192,1.1297693253,1.116,7,-1.451,-2.506
193,1.1297957897,1.113,7,-1.537,-2.609
194,1.1298202276,1.11,7,-1.623,-2.711
195,1.129843235,1.107,7,-1.707,-2.813
196,1.1298648119,1.103,7,-1.79,-2.913
197,1.1298844814,1.099,7,-1.872,-3.015
198,1.1299026012,1.094,7,-1.951,-3.113
199,1.1299208403,1.088,7,-2.029,-3.211
200,1.1299390793,1.08,7,-2.102,-3.307
201,1.1299571991,1.07,7,-2.173,-3.402
202,1.1299747229,1.058,7,-2.243,-3.5
203,1.1299902201,1.045,7,-2.314,-3.604
204,1.1300014257,1.032,7,-2.38,-3.706
205,1.1300109625,1.019,7,-2.439,-3.796
206,1.1300193071,1.004,7,-2.498,-3.892
207,1.1300272942,0.985,7,-2.552,-3.987
208,1.1300321817,0.971,7,-2.571,-4.026
209,1.1300336123,0.966,7,-2.597,-4.07
210,1.1300338507,0.965,7,-2.541,-3.981
211,1.1300339699,0.965,7,-2.475,-3.88
212,1.1300340891,0.964,7,-2.582,-4.047
213,1.1300342083,0.964,7,-2.556,-4.005
214,1.1300345659,0.963,7,-2.569,-4.028
215,1.1300350428,0.961,7,-2.608,-4.091
216,1.1300355196,0.959,7,-2.649,-4.159
217,1.1300361156,0.957,7,-2.684,-4.226
218,1.1300371885,0.95,7,-2.729,-4.321
219,1.130038619,0.94,7,-2.761,-4.398
220,1.1300392151,0.933,7,-2.765,-4.414
