,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.06,12.39
1,0.0922857448,0.092,1,15.693,12.192
2,0.099999994,0.1,1,14.617,11.682
3,0.1199999899,0.12,1,13.312,10.944
4,0.1209384501,0.121,1,13.276,10.92
5,0.1399999857,0.14,1,12.618,10.47
6,0.1475877315,0.148,1,12.429,10.329
7,0.1599999964,0.16,1,12.142,10.114
8,0.2000000179,0.2,1,11.466,9.577
9,0.2487181276,0.249,1,10.875,9.084
10,0.25,0.25,1,10.861,9.073
11,0.3000000119,0.3,1,10.401,8.664
12,0.3499999642,0.35,1,9.987,8.287
13,0.3793219626,0.379,1,9.682,8.057
14,0.3999999762,0.4,1,9.478,7.905
15,0.413654089,0.414,1,9.314,7.781
16,0.4500000179,0.45,1,8.944,7.483
17,0.5,0.5,1,8.328,7.022
18,0.5500000715,0.55,1,7.655,6.536
19,0.5761784911,0.576,1,7.337,6.296
20,0.6000000238,0.6,1,7.07,6.089
21,0.6367631555,0.637,1,6.677,5.781
22,0.6499999762,0.65,1,6.544,5.677
23,0.6712548137,0.671,1,6.339,5.513
24,0.6999999285,0.7,1,6.08,5.304
25,0.7036140561,0.704,1,6.049,5.279
26,0.7377964258,0.738,1,5.761,5.046
27,0.75,0.75,1,5.662,4.965
28,0.7584195733,0.758,1,5.596,4.909
29,0.7913540602,0.791,1,5.339,4.69
30,0.7999999523,0.8,1,5.273,4.633
31,0.8239943385,0.824,1,5.09,4.475
32,0.8500000238,0.85,1,4.893,4.304
33,0.8570213914,0.857,1,4.841,4.258
34,0.887512207,0.887,1,4.613,4.06
35,0.8999999762,0.899,1,4.518,3.978
36,0.9148346782,0.914,1,4.407,3.881
37,0.9379537106,0.937,1,4.232,3.729
38,0.9499999285,0.95,1,4.14,3.649
39,0.9501931071,0.95,1,4.138,3.648
40,0.973105371,0.973,1,3.96,3.495
41,0.9934242964,0.994,1,3.798,3.356
42,1.0,1.0,1,3.744,3.31
43,1.0142792463,1.014,1,3.628,3.213
44,1.0326712132,1.032,1,3.477,3.086
45,1.0494955778,1.049,1,3.336,2.967
46,1.0499999523,1.05,1,3.332,2.964
47,1.0532661676,1.053,1,3.305,2.941
48,1.064401865,1.064,1,3.211,2.861
49,1.0747014284,1.074,1,3.12,2.781
50,1.0831320286,1.082,1,3.046,2.715
51,1.0853710175,1.085,1,3.026,2.697
52,1.0887503624,1.088,1,2.989,2.664
53,1.0940674543,1.093,1,2.93,2.61
54,1.0991203785,1.098,1,2.87,2.556
55,1.1000000238,1.099,1,2.86,2.547
56,1.1002777815,1.1,1,2.857,2.544
57,1.1032453775,1.103,1,2.815,2.507
58,1.1034120321,1.103,1,2.813,2.505
59,1.1099253893,1.109,2,2.736,2.428
60,1.12025249,1.12,2,2.616,2.302
61,1.1305118799,1.13,2,2.487,2.149
62,1.1368978024,1.136,2,2.399,2.024
63,1.141238451,1.14,2,2.339,1.913
64,1.1437044144,1.143,2,2.309,1.838
65,1.1455805302,1.145,2,2.289,1.778
66,1.1469858885,1.146,2,2.282,1.736
67,1.1484786272,1.148,2,2.287,1.699
68,1.1497513056,1.149,2,2.3,1.675
69,1.1499998569,1.149,2,2.305,1.672
70,1.1529245377,1.152,2,2.4,1.689
71,1.1565166712,1.156,2,2.374,1.6
72,1.1567356586,1.156,3,2.362,1.586
