,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.179,12.114
1,0.0944221467,0.094,1,14.499,11.789
2,0.1000000015,0.1,1,13.747,11.394
3,0.1199999973,0.12,1,12.652,10.668
4,0.1400000006,0.14,1,12.058,10.213
5,0.1599999964,0.16,1,11.63,9.865
6,0.2000000179,0.2,1,11.003,9.322
7,0.25,0.25,1,10.346,8.795
8,0.3248895407,0.325,1,9.688,8.221
9,0.3497609198,0.35,1,9.509,8.064
10,0.349999994,0.35,1,9.507,8.062
11,0.3503234982,0.35,1,9.504,8.06
12,0.3860155344,0.386,1,9.198,7.803
13,0.400000006,0.4,1,9.088,7.711
14,0.4171812832,0.417,1,8.904,7.565
15,0.4500000179,0.45,1,8.572,7.301
16,0.5,0.5,1,7.987,6.854
17,0.5500000715,0.55,1,7.415,6.405
18,0.6000000238,0.6,1,6.894,5.985
19,0.6319350004,0.632,1,6.578,5.73
20,0.6499999762,0.65,1,6.41,5.593
21,0.6551023722,0.655,1,6.362,5.555
22,0.6894589663,0.69,1,6.058,5.309
23,0.6999999881,0.7,1,5.969,5.236
24,0.7100337148,0.71,1,5.885,5.167
25,0.7401382923,0.74,1,5.639,4.964
26,0.75,0.75,1,5.56,4.899
27,0.7747687101,0.775,1,5.365,4.732
28,0.8000000119,0.8,1,5.169,4.564
29,0.8201547861,0.82,1,5.014,4.431
30,0.8445669413,0.844,1,4.826,4.27
31,0.8500000238,0.85,1,4.784,4.234
32,0.8642165065,0.864,1,4.676,4.142
33,0.887786746,0.887,1,4.497,3.989
34,0.8999999762,0.899,1,4.404,3.909
35,0.9166274667,0.916,1,4.277,3.802
36,0.9347007275,0.934,1,4.136,3.684
37,0.9499999881,0.95,1,4.016,3.583
38,0.9550102353,0.955,1,3.976,3.551
39,0.9677729607,0.968,1,3.874,3.468
40,0.9850762486,0.985,1,3.733,3.353
41,1.0,1.0,1,3.608,3.253
42,1.0104660988,1.01,1,3.519,3.185
43,1.0231949091,1.023,1,3.408,3.099
44,1.0353890657,1.035,1,3.299,3.016
45,1.0468779802,1.046,1,3.195,2.936
46,1.0499999523,1.05,1,3.167,2.914
47,1.0556741953,1.055,1,3.117,2.874
48,1.063800931,1.063,1,3.043,2.814
49,1.0712983608,1.071,1,2.973,2.756
50,1.0779101849,1.077,1,2.91,2.704
51,1.0818539858,1.081,1,2.873,2.672
52,1.083365202,1.083,1,2.855,2.658
53,1.0915358067,1.091,1,2.762,2.581
54,1.0923665762,1.092,1,2.754,2.574
55,1.0959173441,1.095,1,2.716,2.54
56,1.1000000238,1.099,2,2.674,2.503
57,1.1051818132,1.105,2,2.616,2.449
58,1.1216169596,1.121,2,2.402,2.232
59,1.1299678087,1.129,2,2.268,2.079
60,1.1352787018,1.135,2,2.173,1.948
61,1.1390037537,1.138,2,2.1,1.824
62,1.141051054,1.14,2,2.061,1.733
63,1.1424605846,1.142,2,2.037,1.66
64,1.1434805393,1.143,2,2.024,1.599
65,1.1444945335,1.144,2,2.015,1.538
66,1.1452645063,1.145,2,2.01,1.493
67,1.1458791494,1.145,2,2.011,1.462
68,1.1463906765,1.146,2,2.012,1.437
69,1.1468521357,1.146,2,2.017,1.419
70,1.1473084688,1.147,2,2.028,1.408
71,1.1478056908,1.147,2,2.039,1.395
72,1.1483405828,1.148,2,2.052,1.385
73,1.1489223242,1.148,2,2.066,1.378
74,1.1495682001,1.149,2,2.081,1.372
75,1.1499999762,1.149,2,2.09,1.368
76,1.1504589319,1.15,2,2.101,1.364
77,1.1508182287,1.15,2,2.094,1.349
78,1.1516515017,1.151,3,2.051,1.293
79,1.1528754234,1.152,3,1.957,1.185
80,1.1538944244,1.153,3,1.861,1.079
81,1.1549531221,1.154,3,1.751,0.961
82,1.1558603048,1.155,3,1.649,0.853
83,1.1566261053,1.156,3,1.558,0.757
84,1.1574145555,1.157,3,1.458,0.652
85,1.1581584215,1.158,3,1.358,0.547
86,1.1588977575,1.158,3,1.253,0.436
87,1.1595286131,1.159,3,1.157,0.335
88,1.1601512432,1.16,3,1.056,0.228
89,1.1607427597,1.16,3,0.953,0.119
90,1.1612805128,1.161,3,0.854,0.013
91,1.1617953777,1.161,3,0.751,-0.095
92,1.1622576714,1.162,3,0.654,-0.199
93,1.1626843214,1.162,3,0.557,-0.301
94,1.1631014347,1.162,3,0.456,-0.41
95,1.1634739637,1.163,3,0.359,-0.514
96,1.1638277769,1.163,3,0.26,-0.619
97,1.1641532183,1.164,3,0.164,-0.723
98,1.1644523144,1.164,3,0.069,-0.825
99,1.1647350788,1.164,3,-0.026,-0.927
100,1.1649956703,1.164,3,-0.118,-1.027
101,1.1652399302,1.165,3,-0.209,-1.127
102,1.1654725075,1.165,3,-0.301,-1.226
103,1.1656981707,1.165,3,-0.389,-1.322
104,1.1659493446,1.165,3,-0.466,-1.407
105,1.1660592556,1.165,3,-0.494,-1.437
106,1.1661820412,1.166,3,-0.46,-1.399
107,1.1663107872,1.166,3,-0.377,-1.307
108,1.1663411856,1.166,3,-0.358,-1.286
109,1.1664912701,1.166,3,-0.435,-1.371
110,1.1666820049,1.166,3,-0.534,-1.478
111,1.1668628454,1.166,3,-0.63,-1.584
112,1.1670330763,1.166,3,-0.725,-1.689
113,1.1671923399,1.167,3,-0.818,-1.793
114,1.167339921,1.167,3,-0.911,-1.896
115,1.167480588,1.167,3,-1.005,-2.001
116,1.1676087379,1.167,3,-1.096,-2.103
117,1.1677291393,1.167,3,-1.187,-2.206
118,1.1678409576,1.167,3,-1.276,-2.307
119,1.1679441929,1.167,3,-1.363,-2.406
120,1.168043375,1.167,3,-1.452,-2.507
121,1.1681330204,1.168,3,-1.537,-2.606
122,1.1682178974,1.168,3,-1.622,-2.706
123,1.1682960987,1.168,3,-1.706,-2.804
124,1.1683702469,1.168,3,-1.788,-2.902
125,1.1684548855,1.168,3,-1.888,-3.022
126,1.1685179472,1.168,3,-1.967,-3.118
127,1.1685779095,1.168,3,-2.048,-3.216
128,1.1686453819,1.168,3,-2.142,-3.332
129,1.1686974764,1.168,3,-2.216,-3.426
130,1.1687561274,1.168,3,-2.303,-3.539
131,1.1688110828,1.168,3,-2.389,-3.652
132,1.1688535213,1.168,3,-2.458,-3.745
133,1.1689012051,1.168,3,-2.536,-3.854
134,1.1689466238,1.168,3,-2.612,-3.962
135,1.1689954996,1.168,3,-2.694,-4.079
136,1.1689954996,1.168,4,0.177,-0.595
137,1.1692657471,1.169,4,0.153,-0.625
138,1.1695110798,1.169,4,0.144,-0.636
139,1.1697592735,1.169,4,0.135,-0.646
140,1.1700072289,1.169,4,0.126,-0.654
141,1.1702566147,1.17,4,0.118,-0.661
142,1.1705058813,1.17,4,0.11,-0.668
143,1.1707487106,1.17,4,0.102,-0.674
144,1.1709971428,1.17,4,0.094,-0.68
145,1.1712664366,1.171,4,0.086,-0.686
146,1.1715215445,1.171,4,0.078,-0.692
147,1.1717728376,1.171,4,0.07,-0.698
148,1.1720443964,1.171,4,0.062,-0.705
149,1.1723169088,1.172,4,0.053,-0.711
150,1.1725642681,1.172,4,0.046,-0.717
151,1.172821641,1.172,4,0.038,-0.723
152,1.1729528904,1.172,4,0.034,-0.726
153,1.1730059385,1.172,4,0.033,-0.727
154,1.1732722521,1.173,4,0.025,-0.734
155,1.1735260487,1.173,4,0.018,-0.739
156,1.1737995148,1.173,4,0.01,-0.746
157,1.1740518808,1.173,4,0.004,-0.752
158,1.1743067503,1.174,4,-0.003,-0.758
159,1.1745631695,1.174,4,-0.01,-0.765
160,1.1748182774,1.174,4,-0.017,-0.771
161,1.1748406887,1.174,4,-0.017,-0.772
162,1.1750144958,1.174,4,-0.022,-0.777
163,1.1752493382,1.175,4,-0.028,-0.784
164,1.1754899025,1.175,4,-0.035,-0.791
165,1.1757338047,1.175,4,-0.042,-0.8
166,1.1759761572,1.175,4,-0.049,-0.809
167,1.1762138605,1.176,4,-0.056,-0.819
168,1.1764441729,1.176,4,-0.064,-0.829
169,1.176677227,1.176,4,-0.072,-0.842
170,1.1769145727,1.176,4,-0.082,-0.855
171,1.177025795,1.176,4,-0.087,-0.863
172,1.1772572994,1.177,4,-0.1,-0.882
173,1.1774889231,1.177,4,-0.119,-0.911
174,1.177721262,1.177,4,-0.165,-0.976
175,1.1778630018,1.177,4,-0.227,-1.058
176,1.1779199839,1.177,4,-0.31,-1.162
177,1.1779359579,1.177,4,-0.391,-1.258
178,1.1779370308,1.177,7,-0.401,-1.27
179,1.1779389381,1.177,7,-0.429,-1.303
180,1.1779444218,1.177,7,-0.531,-1.419
181,1.1779489517,1.177,7,-0.621,-1.521
182,1.1779534817,1.177,7,-0.71,-1.621
183,1.1779602766,1.177,7,-0.755,-1.671
184,1.1779727936,1.177,7,-0.729,-1.642
185,1.1779985428,1.177,7,-0.687,-1.594
186,1.1781102419,1.178,7,-0.698,-1.608
187,1.1781792641,1.178,7,-0.775,-1.696
188,1.1782548428,1.178,7,-0.867,-1.801
189,1.1783260107,1.178,7,-0.962,-1.908
190,1.1783900261,1.178,7,-1.057,-2.016
191,1.1784470081,1.178,7,-1.15,-2.121
192,1.1784975529,1.178,7,-1.242,-2.226
193,1.1785423756,1.178,7,-1.334,-2.331
194,1.178581953,1.178,7,-1.425,-2.436
195,1.178617239,1.178,7,-1.515,-2.539
196,1.1786496639,1.178,7,-1.602,-2.641
197,1.1786797047,1.178,7,-1.689,-2.744
198,1.1787078381,1.178,7,-1.775,-2.846
199,1.1787341833,1.178,7,-1.861,-2.949
200,1.1787577868,1.178,7,-1.944,-3.05
201,1.1787801981,1.178,7,-2.025,-3.149
202,1.1788024902,1.178,7,-2.106,-3.248
203,1.178824544,1.178,7,-2.185,-3.347
204,1.1788467169,1.178,7,-2.265,-3.447
205,1.178868413,1.178,7,-2.343,-3.547
206,1.1788878441,1.178,7,-2.422,-3.653
207,1.1789022684,1.178,7,-2.497,-3.755
208,1.1789138317,1.178,7,-2.564,-3.849
209,1.1789240837,1.178,7,-2.631,-3.944
210,1.1789342165,1.178,7,-2.7,-4.045
211,1.1789414883,1.178,7,-2.764,-4.142
212,1.1789425611,1.178,7,-2.777,-4.162
213,1.1789427996,1.178,7,-2.766,-4.146
