,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.367,12.579
1,0.0917016044,0.092,1,16.105,12.372
2,0.1000000089,0.1,1,14.93,11.784
3,0.1199999899,0.12,1,13.55,11.034
4,0.1366824061,0.137,1,12.918,10.625
5,0.1400000006,0.14,1,12.805,10.549
6,0.1415091157,0.141,1,12.764,10.52
7,0.1599999964,0.16,1,12.306,10.187
8,0.1994539797,0.199,1,11.613,9.648
9,0.2000000179,0.2,1,11.605,9.641
10,0.25,0.25,1,10.985,9.129
11,0.3000000417,0.3,1,10.501,8.719
12,0.349999994,0.35,1,10.097,8.35
13,0.4000000358,0.4,1,9.624,7.961
14,0.4500000179,0.45,1,9.031,7.522
15,0.5,0.5,1,8.424,7.064
16,0.5500000715,0.55,1,7.728,6.568
17,0.6000000238,0.6,1,7.112,6.108
18,0.6286007166,0.628,1,6.788,5.858
19,0.6499999762,0.65,1,6.563,5.681
20,0.6616748571,0.662,1,6.444,5.587
21,0.6881197691,0.688,1,6.188,5.382
22,0.6999999881,0.7,1,6.079,5.294
23,0.7222422361,0.722,1,5.881,5.133
24,0.7473406196,0.747,1,5.666,4.958
25,0.75,0.75,1,5.644,4.939
26,0.7707877159,0.771,1,5.473,4.794
27,0.795609355,0.795,1,5.271,4.62
28,0.8000000715,0.8,1,5.235,4.59
29,0.8051562309,0.805,1,5.194,4.554
30,0.8319554925,0.832,1,4.978,4.365
31,0.8500000238,0.85,1,4.833,4.236
32,0.8602805138,0.86,1,4.75,4.164
33,0.8819007277,0.881,1,4.574,4.008
34,0.8999999762,0.899,1,4.424,3.876
35,0.9016846418,0.901,1,4.41,3.863
36,0.919544816,0.919,1,4.259,3.73
37,0.9348751307,0.934,1,4.127,3.613
38,0.9487973452,0.948,1,4.002,3.502
39,0.9499999881,0.95,1,3.992,3.493
40,0.9506593943,0.95,1,3.986,3.487
41,0.9658992887,0.966,1,3.847,3.365
42,0.9802900553,0.98,1,3.715,3.247
43,0.9939351678,0.994,1,3.588,3.132
44,1.0,1.0,1,3.531,3.08
45,1.0005158186,1.001,1,3.526,3.075
46,1.0116399527,1.012,1,3.414,2.974
47,1.0210493803,1.021,1,3.313,2.881
48,1.0265203714,1.026,1,3.253,2.825
49,1.0316438675,1.031,1,3.193,2.768
50,1.0399787426,1.04,1,3.093,2.669
51,1.0482150316,1.048,1,2.988,2.56
52,1.0499999523,1.05,1,2.964,2.534
53,1.0533756018,1.053,1,2.917,2.484
54,1.0564347506,1.056,1,2.871,2.43
55,1.0616358519,1.061,2,2.793,2.336
56,1.0672641993,1.067,2,2.705,2.217
57,1.0710191727,1.07,2,2.648,2.125
