,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.263,12.127
1,0.0928716809,0.093,1,14.821,11.921
2,0.1000000015,0.1,1,13.855,11.43
3,0.1199999973,0.12,1,12.737,10.707
4,0.1400000006,0.14,1,12.134,10.252
5,0.1599999964,0.16,1,11.702,9.906
6,0.2000000179,0.2,1,11.078,9.365
7,0.25,0.25,1,10.442,8.84
8,0.3000000417,0.3,1,9.949,8.428
9,0.3360407352,0.336,1,9.668,8.181
10,0.349999994,0.35,1,9.567,8.092
11,0.3914723992,0.391,1,9.214,7.797
12,0.400000006,0.4,1,9.147,7.741
13,0.4500000179,0.45,1,8.629,7.329
14,0.5,0.5,1,8.03,6.876
15,0.5500000715,0.55,1,7.439,6.418
16,0.6000000238,0.6,1,6.91,5.993
17,0.6241247058,0.624,1,6.666,5.797
18,0.6499999762,0.65,1,6.419,5.597
19,0.6820635796,0.682,1,6.129,5.363
20,0.6999999881,0.7,1,5.974,5.237
21,0.7205830216,0.721,1,5.802,5.096
22,0.7498902082,0.75,1,5.564,4.899
23,0.75,0.75,1,5.563,4.898
24,0.7510062456,0.751,1,5.555,4.891
25,0.7828776836,0.783,1,5.303,4.676
26,0.8000000119,0.8,1,5.17,4.561
27,0.8115919232,0.811,1,5.08,4.483
28,0.8439714909,0.844,1,4.828,4.267
29,0.8500000238,0.85,1,4.781,4.227
30,0.8754044175,0.875,1,4.587,4.06
31,0.8999999762,0.899,1,4.396,3.897
32,0.9029658437,0.902,1,4.374,3.877
33,0.926420033,0.926,1,4.19,3.722
34,0.9479026198,0.947,1,4.018,3.577
35,0.9499999285,0.95,1,4.001,3.563
36,0.9658249617,0.966,1,3.872,3.457
37,0.9827353358,0.983,1,3.73,3.341
38,0.9987530112,0.999,1,3.592,3.228
39,1.0,1.0,1,3.581,3.22
40,1.0056542158,1.006,1,3.532,3.181
41,1.0191069841,1.019,1,3.412,3.088
42,1.0323431492,1.032,1,3.292,2.994
43,1.0455954075,1.045,1,3.169,2.896
44,1.0499999523,1.05,1,3.127,2.862
45,1.0551997423,1.055,1,3.078,2.822
46,1.0623664856,1.062,1,3.008,2.764
47,1.0718349218,1.071,1,2.915,2.683
48,1.0730965137,1.072,1,2.902,2.673
49,1.0810741186,1.08,1,2.803,2.589
50,1.0830218792,1.082,1,2.778,2.568
51,1.086302042,1.086,2,2.742,2.535
52,1.0931947231,1.092,2,2.665,2.465
53,1.1000000238,1.099,2,2.582,2.386
54,1.1009026766,1.1,2,2.571,2.375
55,1.1121972799,1.112,2,2.411,2.2
56,1.1196583509,1.119,2,2.286,2.04
57,1.1240719557,1.123,2,2.207,1.912
58,1.1264822483,1.126,2,2.163,1.823
59,1.1281855106,1.127,2,2.135,1.748
60,1.1293772459,1.129,2,2.119,1.69
61,1.1305257082,1.13,2,2.106,1.63
