,Mini,Mass,label,Vmag,Imag
0,0.090000011,0.09,1,15.198,12.116
1,0.0906440541,0.091,1,15.096,12.069
2,0.09697669,0.097,1,14.168,11.615
3,0.1000000015,0.1,1,13.777,11.405
4,0.1199999973,0.12,1,12.677,10.68
5,0.121115528,0.121,1,12.641,10.652
6,0.1400000155,0.14,1,12.081,10.225
7,0.1599999964,0.16,1,11.651,9.879
8,0.2000000179,0.2,1,11.034,9.338
9,0.25,0.25,1,10.379,8.814
10,0.3000000417,0.3,1,9.907,8.408
11,0.3185133636,0.318,1,9.76,8.279
12,0.349999994,0.35,1,9.53,8.076
13,0.3673526645,0.367,1,9.375,7.946
14,0.400000006,0.4,1,9.108,7.722
15,0.4500000477,0.45,1,8.592,7.313
16,0.5,0.5,1,8.005,6.865
17,0.5500000715,0.55,1,7.43,6.416
18,0.5883867741,0.588,1,7.024,6.09
19,0.6000000238,0.6,1,6.91,5.997
20,0.6499919891,0.65,1,6.427,5.607
21,0.6499999762,0.65,1,6.427,5.607
22,0.6728226542,0.673,1,6.222,5.441
23,0.6999999881,0.7,1,5.989,5.252
24,0.7119747996,0.712,1,5.89,5.171
25,0.7472298145,0.747,1,5.606,4.938
26,0.75,0.75,1,5.584,4.92
27,0.77914083,0.779,1,5.359,4.727
28,0.8000000119,0.8,1,5.2,4.591
29,0.8022184968,0.802,1,5.184,4.577
30,0.8419237733,0.842,1,4.884,4.321
31,0.8500000238,0.85,1,4.824,4.269
32,0.8762952685,0.876,1,4.63,4.103
33,0.9000000358,0.899,1,4.454,3.954
34,0.9083123207,0.908,1,4.393,3.903
35,0.937146008,0.937,1,4.18,3.723
36,0.9499999881,0.95,1,4.083,3.643
37,0.9591905475,0.959,1,4.014,3.587
38,0.9823598266,0.982,1,3.838,3.443
39,1.0,1.0,1,3.701,3.332
40,1.0127024651,1.013,1,3.602,3.256
41,1.028390646,1.028,1,3.475,3.159
42,1.0427210331,1.042,1,3.358,3.07
43,1.0499999523,1.05,1,3.296,3.023
44,1.0547798872,1.054,1,3.257,2.994
45,1.0645612478,1.064,1,3.178,2.933
46,1.0743181705,1.074,1,3.098,2.871
47,1.0828375816,1.082,1,3.029,2.816
48,1.0901210308,1.089,1,2.971,2.769
49,1.099743247,1.099,1,2.899,2.71
50,1.1000000238,1.099,1,2.897,2.708
51,1.1032160521,1.103,1,2.873,2.687
52,1.1190141439,1.118,1,2.733,2.569
53,1.1265290976,1.126,1,2.652,2.505
54,1.1292660236,1.129,1,2.61,2.472
55,1.1294205189,1.129,1,2.607,2.47
