,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.222,12.12
1,0.092170842,0.092,1,14.884,11.962
2,0.1000000015,0.1,1,13.807,11.414
3,0.1199999973,0.12,1,12.7,10.69
4,0.1400000006,0.14,1,12.101,10.235
5,0.1599999964,0.16,1,11.669,9.889
6,0.193848744,0.194,1,11.136,9.422
7,0.2000000179,0.2,1,11.049,9.346
8,0.25,0.25,1,10.399,8.819
9,0.3000000417,0.3,1,9.918,8.41
10,0.3365353048,0.337,1,9.636,8.163
11,0.349999994,0.35,1,9.54,8.078
12,0.3867144883,0.387,1,9.226,7.814
13,0.400000006,0.4,1,9.12,7.726
14,0.4464989603,0.446,1,8.637,7.343
15,0.4500000179,0.45,1,8.602,7.316
16,0.4890037477,0.489,1,8.131,6.959
17,0.5,0.5,1,8.008,6.864
18,0.5500000715,0.55,1,7.424,6.409
19,0.6000000238,0.6,1,6.897,5.985
20,0.6193910241,0.619,1,6.701,5.827
21,0.6499999762,0.65,1,6.408,5.59
22,0.6769121289,0.677,1,6.163,5.392
23,0.6999999881,0.7,1,5.963,5.229
24,0.7153313756,0.715,1,5.834,5.123
25,0.7444296479,0.744,1,5.595,4.926
26,0.75,0.75,1,5.55,4.889
27,0.7771379948,0.777,1,5.335,4.704
28,0.8000000119,0.8,1,5.155,4.549
29,0.8057113886,0.806,1,5.11,4.511
30,0.837895453,0.838,1,4.858,4.294
31,0.8500000238,0.85,1,4.763,4.212
32,0.8691663742,0.869,1,4.615,4.085
33,0.8965650201,0.896,1,4.402,3.902
34,0.8999999762,0.899,1,4.374,3.879
35,0.9198764563,0.919,1,4.218,3.746
36,0.9412450194,0.941,1,4.045,3.601
37,0.9500000477,0.95,1,3.972,3.54
38,0.9590563774,0.959,1,3.897,3.478
39,0.9758946896,0.976,1,3.755,3.362
40,0.9918450117,0.992,1,3.615,3.248
41,1.0,1.0,1,3.543,3.19
42,1.0123782158,1.012,1,3.431,3.103
43,1.0255497694,1.025,1,3.309,3.008
44,1.0387374163,1.038,1,3.184,2.909
45,1.0499999523,1.05,1,3.075,2.821
46,1.0502096415,1.05,1,3.073,2.819
47,1.0573028326,1.057,1,3.0,2.758
48,1.0666737556,1.066,1,2.902,2.674
49,1.0679222345,1.067,1,2.889,2.663
50,1.075632453,1.075,1,2.792,2.579
51,1.0775386095,1.077,1,2.768,2.558
52,1.0806268454,1.08,2,2.733,2.525
53,1.0871142149,1.086,2,2.656,2.454
54,1.0940315723,1.093,2,2.568,2.369
55,1.1000000238,1.099,2,2.484,2.282
56,1.1020528078,1.101,2,2.454,2.25
57,1.10982728,1.109,2,2.324,2.09
58,1.1144405603,1.114,2,2.239,1.962
59,1.116964221,1.116,2,2.19,1.871
60,1.1187493801,1.118,2,2.157,1.794
