,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.366,12.151
1,0.0901529938,0.09,1,15.341,12.14
2,0.0964406952,0.096,1,14.418,11.703
3,0.1000000089,0.1,1,13.959,11.466
4,0.1134470254,0.113,1,13.154,10.967
5,0.1200000048,0.12,1,12.819,10.742
6,0.1400000006,0.14,1,12.205,10.285
7,0.1599999964,0.16,1,11.77,9.939
8,0.2000000179,0.2,1,11.139,9.404
9,0.25,0.25,1,10.531,8.886
10,0.3000000417,0.3,1,10.018,8.469
11,0.3258986771,0.326,1,9.805,8.283
12,0.3500000238,0.35,1,9.623,8.123
13,0.3505592644,0.351,1,9.618,8.118
14,0.4000000358,0.4,1,9.203,7.771
15,0.4500000477,0.45,1,8.687,7.36
16,0.5,0.5,1,8.079,6.903
17,0.5500000715,0.55,1,7.476,6.441
18,0.6000000238,0.6,1,6.943,6.016
19,0.6481859088,0.648,1,6.467,5.634
20,0.6499999762,0.65,1,6.45,5.621
21,0.6710677147,0.671,1,6.258,5.465
22,0.7000000477,0.7,1,6.008,5.263
23,0.7100718021,0.71,1,5.924,5.195
24,0.7451941371,0.745,1,5.64,4.962
25,0.75,0.75,1,5.602,4.93
26,0.7769010663,0.777,1,5.394,4.752
27,0.8000000715,0.8,1,5.218,4.602
28,0.8392507434,0.839,1,4.922,4.348
29,0.8500000834,0.85,1,4.841,4.278
30,0.8733010292,0.873,1,4.669,4.131
31,0.8999999762,0.899,1,4.472,3.961
32,0.9049676657,0.904,1,4.435,3.93
33,0.9335030317,0.933,1,4.224,3.751
34,0.9500000477,0.95,1,4.1,3.647
35,0.9552797079,0.955,1,4.061,3.614
36,0.9781287909,0.978,1,3.887,3.471
37,0.9982914329,0.998,1,3.73,3.343
38,1.0,1.0,1,3.716,3.332
39,1.0082570314,1.008,1,3.652,3.281
40,1.0237797499,1.024,1,3.528,3.184
41,1.0379583836,1.038,1,3.412,3.093
42,1.0499999523,1.05,1,3.311,3.015
43,1.0513143539,1.051,1,3.301,3.007
44,1.0612682104,1.061,1,3.22,2.944
45,1.0711988211,1.071,1,3.139,2.88
46,1.0798714161,1.079,1,3.069,2.824
47,1.0872867107,1.087,1,3.011,2.775
48,1.0970845222,1.096,1,2.936,2.712
49,1.0983899832,1.098,1,2.927,2.704
50,1.1000000238,1.099,1,2.908,2.69
51,1.1114760637,1.111,1,2.803,2.601
52,1.1196503639,1.119,1,2.718,2.533
53,1.1226636171,1.122,1,2.669,2.496
54,1.1228343248,1.122,1,2.665,2.494
55,1.1307140589,1.13,1,2.57,2.399
56,1.1434880495,1.143,2,2.417,2.242
57,1.1499999762,1.149,2,2.334,2.152
58,1.1545695066,1.154,2,2.274,2.081
59,1.1606655121,1.16,2,2.184,1.959
60,1.1642011404,1.164,2,2.13,1.869
61,1.1665084362,1.166,2,2.094,1.802
62,1.1686594486,1.168,2,2.063,1.729
63,1.1702255011,1.17,2,2.044,1.671
64,1.1714487076,1.171,2,2.032,1.623
65,1.1724886894,1.172,2,2.025,1.58
66,1.1734634638,1.173,2,2.022,1.54
67,1.1744879484,1.174,2,2.023,1.501
68,1.1755638123,1.175,2,2.032,1.464
69,1.1766909361,1.176,2,2.049,1.434
70,1.1778873205,1.177,2,2.075,1.414
71,1.1791174412,1.179,2,2.104,1.401
72,1.1808993816,1.18,2,2.119,1.374
73,1.1811867952,1.181,2,2.118,1.366
74,1.1820975542,1.182,2,2.07,1.308
