,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,16.087,12.401
1,0.0960756913,0.096,1,15.166,11.938
2,0.1000000089,0.1,1,14.644,11.691
3,0.1045072973,0.104,1,14.307,11.512
4,0.1200000048,0.12,1,13.331,10.952
5,0.1400000155,0.14,1,12.634,10.477
6,0.1599999964,0.16,1,12.156,10.121
7,0.2000000179,0.2,1,11.48,9.585
8,0.25,0.25,1,10.877,9.083
9,0.3000000417,0.3,1,10.417,8.676
10,0.349999994,0.35,1,10.003,8.296
11,0.4000000358,0.4,1,9.495,7.914
12,0.4500000477,0.45,1,8.957,7.491
13,0.5,0.5,1,8.345,7.032
14,0.5500000715,0.55,1,7.674,6.549
15,0.6000000238,0.6,1,7.089,6.104
16,0.6499999762,0.65,1,6.566,5.694
17,0.6546794176,0.655,1,6.52,5.657
18,0.6936191916,0.694,1,6.159,5.368
19,0.6999999881,0.7,1,6.104,5.324
20,0.7266082168,0.727,1,5.88,5.143
21,0.75,0.75,1,5.69,4.989
22,0.7833417058,0.783,1,5.434,4.772
23,0.8000000715,0.8,1,5.309,4.665
24,0.8113088608,0.811,1,5.224,4.592
25,0.8500000238,0.85,1,4.939,4.345
26,0.8845643997,0.884,1,4.688,4.128
27,0.8999999762,0.899,1,4.576,4.03
28,0.9160117507,0.915,1,4.461,3.931
29,0.9441797733,0.944,1,4.257,3.755
30,0.9500000477,0.95,1,4.215,3.718
31,0.9534438848,0.953,1,4.19,3.697
32,0.9806021452,0.981,1,3.991,3.527
33,1.0,1.0,1,3.846,3.404
34,1.0031690598,1.003,1,3.823,3.385
35,1.0254514217,1.025,1,3.655,3.244
36,1.0458904505,1.045,1,3.498,3.114
37,1.0499999523,1.05,1,3.466,3.088
38,1.0519756079,1.052,1,3.451,3.076
39,1.0670337677,1.066,1,3.338,2.983
40,1.0816326141,1.081,1,3.228,2.891
41,1.0931630135,1.092,1,3.137,2.815
42,1.1000001431,1.099,1,3.084,2.769
43,1.1066051722,1.106,1,3.039,2.727
44,1.1217309237,1.121,1,2.937,2.628
45,1.1257625818,1.125,1,2.91,2.601
46,1.1362711191,1.136,1,2.807,2.516
47,1.1410849094,1.14,1,2.731,2.465
48,1.1428121328,1.142,1,2.669,2.423
49,1.1429092884,1.142,1,2.664,2.42
50,1.1492581367,1.149,2,2.574,2.315
51,1.1499999762,1.149,2,2.566,2.306
52,1.1587334871,1.158,2,2.476,2.201
53,1.1690776348,1.168,2,2.364,2.058
54,1.1740932465,1.174,2,2.307,1.975
55,1.1775561571,1.177,2,2.267,1.907
56,1.1807615757,1.18,2,2.231,1.835
57,1.1831725836,1.183,2,2.207,1.774
58,1.1852300167,1.185,2,2.189,1.72
59,1.1872264147,1.187,2,2.177,1.667
60,1.1891083717,1.189,2,2.179,1.624
61,1.1909333467,1.19,2,2.196,1.595
62,1.1926939487,1.192,2,2.235,1.587
63,1.1943992376,1.194,2,2.288,1.598
64,1.1964281797,1.196,2,2.318,1.587
65,1.1988550425,1.198,2,2.315,1.543
66,1.1991020441,1.199,3,2.304,1.53
67,1.2000000477,1.2,3,2.256,1.475
68,1.2009532452,1.2,3,2.209,1.421
69,1.2025543451,1.202,3,2.115,1.318
70,1.2041701078,1.204,3,2.009,1.203
71,1.2056516409,1.205,3,1.901,1.089
72,1.2070182562,1.207,3,1.792,0.973
73,1.2083384991,1.208,3,1.68,0.855
74,1.2095402479,1.209,3,1.57,0.738
75,1.2105959654,1.21,3,1.465,0.627
76,1.2116107941,1.211,3,1.357,0.512
77,1.2125345469,1.212,3,1.25,0.399
78,1.2133691311,1.213,3,1.146,0.288
79,1.2141308784,1.214,3,1.043,0.178
80,1.2148506641,1.214,3,0.937,0.065
81,1.2155002356,1.215,3,0.835,-0.045
82,1.2161062956,1.216,3,0.732,-0.155
83,1.2166465521,1.216,3,0.634,-0.261
84,1.2171519995,1.217,3,0.536,-0.367
85,1.2176197767,1.217,3,0.439,-0.473
86,1.2180637121,1.218,3,0.341,-0.581
87,1.2184638977,1.218,3,0.246,-0.684
88,1.2188501358,1.218,3,0.152,-0.788
89,1.2192256451,1.219,3,0.06,-0.889
90,1.2196615934,1.219,3,-0.025,-0.982
91,1.2198243141,1.219,3,-0.042,-1.001
92,1.2201018333,1.22,3,0.013,-0.938
93,1.220304966,1.22,3,0.087,-0.855
94,1.2203521729,1.22,3,0.075,-0.869
95,1.2206546068,1.22,3,-0.02,-0.974
96,1.2209522724,1.221,3,-0.113,-1.077
97,1.2212431431,1.221,3,-0.208,-1.183
98,1.2215083838,1.221,3,-0.301,-1.286
99,1.2217590809,1.221,3,-0.394,-1.39
100,1.2219865322,1.222,3,-0.485,-1.491
101,1.2222013474,1.222,3,-0.575,-1.593
102,1.2223985195,1.222,3,-0.663,-1.693
103,1.222578764,1.222,3,-0.749,-1.791
104,1.2227463722,1.222,3,-0.835,-1.889
105,1.2229031324,1.223,3,-0.92,-1.986
106,1.2230468988,1.223,3,-1.003,-2.082
107,1.2231795788,1.223,3,-1.083,-2.175
108,1.2233068943,1.223,3,-1.165,-2.271
109,1.2234221697,1.223,3,-1.243,-2.363
110,1.223531723,1.223,3,-1.322,-2.457
111,1.2236310244,1.223,3,-1.397,-2.547
112,1.2237255573,1.223,3,-1.469,-2.635
113,1.2238130569,1.223,3,-1.54,-2.723
114,1.2238950729,1.224,3,-1.61,-2.811
115,1.2239738703,1.224,3,-1.681,-2.9
116,1.2240624428,1.224,3,-1.765,-3.006
117,1.2241443396,1.224,3,-1.845,-3.11
118,1.2242062092,1.224,3,-1.909,-3.194
119,1.2242774963,1.224,3,-1.986,-3.296
120,1.224342823,1.224,3,-2.061,-3.397
121,1.2244038582,1.224,3,-2.129,-3.495
122,1.2244510651,1.224,3,-2.184,-3.575
123,1.2245042324,1.224,3,-2.248,-3.67
124,1.2245544195,1.224,3,-2.313,-3.765
125,1.2246017456,1.224,3,-2.374,-3.859
126,1.2246460915,1.224,3,-2.433,-3.951
127,1.2246874571,1.224,3,-2.488,-4.039
128,1.2247116566,1.224,3,-2.519,-4.087
129,1.2247116566,1.224,4,0.276,-0.552
130,1.2250369787,1.225,4,0.253,-0.58
131,1.2253365517,1.225,4,0.242,-0.593
132,1.2256443501,1.225,4,0.233,-0.602
133,1.2259473801,1.226,4,0.225,-0.609
134,1.2262622118,1.226,4,0.219,-0.614
135,1.2265735865,1.226,4,0.213,-0.619
136,1.2268835306,1.226,4,0.207,-0.624
137,1.2272223234,1.227,4,0.2,-0.629
138,1.2275614738,1.227,4,0.194,-0.634
139,1.2278770208,1.227,4,0.187,-0.64
140,1.2282066345,1.228,4,0.18,-0.645
141,1.2285324335,1.228,4,0.173,-0.651
142,1.2288441658,1.228,4,0.167,-0.656
143,1.2291657925,1.229,4,0.16,-0.662
144,1.2294943333,1.229,4,0.153,-0.668
145,1.2295933962,1.229,4,0.151,-0.67
146,1.2297437191,1.229,4,0.148,-0.673
147,1.2300771475,1.23,4,0.141,-0.679
148,1.2303967476,1.23,4,0.135,-0.685
149,1.2307302952,1.23,4,0.128,-0.691
150,1.2310643196,1.231,4,0.121,-0.698
151,1.2313961983,1.231,4,0.114,-0.704
152,1.2317348719,1.231,4,0.107,-0.711
153,1.2319662571,1.232,4,0.103,-0.716
154,1.2320524454,1.232,4,0.101,-0.718
155,1.2323614359,1.232,4,0.094,-0.725
156,1.2326643467,1.232,4,0.088,-0.732
157,1.2329816818,1.233,4,0.08,-0.74
158,1.2333016396,1.233,4,0.072,-0.749
159,1.2336050272,1.233,4,0.064,-0.759
160,1.2339155674,1.234,4,0.055,-0.77
161,1.2342245579,1.234,4,0.046,-0.783
162,1.2345305681,1.234,4,0.035,-0.796
163,1.2348374128,1.234,4,0.028,-0.804
164,1.2351608276,1.235,4,0.009,-0.83
165,1.2354667187,1.235,4,-0.027,-0.878
166,1.235722065,1.235,4,-0.096,-0.964
167,1.2358263731,1.235,4,-0.17,-1.055
168,1.2358651161,1.236,4,-0.246,-1.146
169,1.2358810902,1.236,4,-0.317,-1.231
170,1.2358890772,1.236,4,-0.382,-1.308
171,1.2358891964,1.235,7,-0.383,-1.309
172,1.235891819,1.235,7,-0.421,-1.353
173,1.2358974218,1.235,7,-0.505,-1.449
174,1.2359032631,1.235,7,-0.586,-1.544
175,1.2359192371,1.235,7,-0.666,-1.636
176,1.2359483242,1.235,7,-0.588,-1.545
177,1.2361606359,1.234,7,-0.627,-1.591
178,1.2362710238,1.234,7,-0.728,-1.709
179,1.2363384962,1.233,7,-0.8,-1.792
180,1.2364054918,1.233,7,-0.873,-1.877
181,1.2364789248,1.232,7,-0.957,-1.975
182,1.236545682,1.231,7,-1.041,-2.073
183,1.2366063595,1.23,7,-1.126,-2.173
184,1.2366620302,1.229,7,-1.211,-2.274
185,1.2367120981,1.228,7,-1.288,-2.374
186,1.2367573977,1.227,7,-1.359,-2.473
187,1.2367976904,1.225,7,-1.442,-2.573
188,1.2368347645,1.223,7,-1.523,-2.672
189,1.2368695736,1.221,7,-1.599,-2.768
190,1.2369025946,1.218,7,-1.676,-2.866
191,1.2369332314,1.215,7,-1.753,-2.964
192,1.2369616032,1.212,7,-1.828,-3.06
193,1.2369904518,1.208,7,-1.899,-3.155
