,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.627,12.218
1,0.091400668,0.091,1,15.41,12.12
2,0.1000000015,0.1,1,14.219,11.553
3,0.1199999973,0.12,1,13.012,10.824
4,0.1400000006,0.14,1,12.372,10.36
5,0.1599999964,0.16,1,11.924,10.012
6,0.2000000179,0.2,1,11.264,9.474
7,0.25,0.25,1,10.677,8.955
8,0.3000000417,0.3,1,10.186,8.536
9,0.349999994,0.35,1,9.753,8.18
10,0.400000006,0.4,1,9.309,7.819
11,0.4379413724,0.438,1,8.908,7.498
12,0.4500000179,0.45,1,8.788,7.402
13,0.5,0.5,1,8.151,6.929
14,0.5393960476,0.539,1,7.626,6.54
15,0.5500000715,0.55,1,7.495,6.44
16,0.6000000238,0.6,1,6.934,5.997
17,0.607122004,0.607,1,6.857,5.936
18,0.6418681741,0.642,1,6.493,5.647
19,0.6499999762,0.65,1,6.414,5.583
20,0.6578633189,0.658,1,6.337,5.521
21,0.6820765734,0.682,1,6.11,5.336
22,0.6999999881,0.7,1,5.948,5.204
23,0.7197597027,0.72,1,5.774,5.061
24,0.7416856885,0.742,1,5.586,4.905
25,0.75,0.75,1,5.515,4.846
26,0.7510172725,0.751,1,5.507,4.839
27,0.7741009593,0.774,1,5.313,4.671
28,0.7949296832,0.795,1,5.138,4.52
29,0.8000000119,0.8,1,5.096,4.483
30,0.8082092404,0.808,1,5.027,4.423
31,0.8318936825,0.832,1,4.827,4.249
32,0.8500000238,0.85,1,4.673,4.113
33,0.8575729132,0.857,1,4.609,4.057
34,0.8771135807,0.877,1,4.44,3.91
35,0.894872427,0.894,1,4.282,3.771
36,0.8999999762,0.899,1,4.234,3.729
37,0.9101728797,0.91,1,4.141,3.648
38,0.924095571,0.924,1,4.008,3.532
39,0.936979413,0.936,1,3.881,3.421
40,0.9482879043,0.948,1,3.767,3.321
41,0.9499999881,0.95,1,3.749,3.306
42,0.9598904252,0.96,1,3.648,3.219
43,0.9711571336,0.971,1,3.531,3.116
44,0.9813498855,0.981,1,3.421,3.019
45,0.9936421514,0.994,1,3.276,2.89
46,1.0,1.0,1,3.198,2.819
47,1.0006264448,1.001,1,3.19,2.812
48,1.0022410154,1.002,1,3.17,2.793
49,1.0098335743,1.01,1,3.064,2.694
50,1.0167154074,1.017,1,2.96,2.59
51,1.0213450193,1.021,1,2.886,2.51
52,1.0258630514,1.026,2,2.81,2.423
53,1.0305962563,1.03,2,2.728,2.321
54,1.0343028307,1.034,2,2.659,2.225
55,1.0371848345,1.037,2,2.603,2.137
56,1.0388991833,1.039,2,2.57,2.08
57,1.0401670933,1.04,2,2.545,2.031
58,1.0411760807,1.041,2,2.527,1.992
59,1.0422964096,1.042,2,2.509,1.946
60,1.04332304,1.043,2,2.497,1.904
61,1.0442419052,1.044,2,2.495,1.872
62,1.0450942516,1.045,2,2.5,1.847
63,1.0459253788,1.045,2,2.517,1.834
64,1.0467598438,1.046,2,2.532,1.822
65,1.0478006601,1.047,2,2.525,1.786
66,1.048850894,1.048,2,2.476,1.714
67,1.0491528511,1.049,2,2.457,1.689
68,1.0496191978,1.049,3,2.412,1.638
69,1.0499999523,1.05,3,2.371,1.592
70,1.0505980253,1.05,3,2.307,1.521
71,1.0513967276,1.051,3,2.21,1.416
72,1.0521523952,1.052,3,2.11,1.309
73,1.0528835058,1.052,3,2.005,1.198
74,1.0535686016,1.053,3,1.901,1.087
75,1.0542572737,1.054,3,1.788,0.969
76,1.054882288,1.054,3,1.679,0.853
77,1.0554585457,1.055,3,1.57,0.739
78,1.0559798479,1.055,3,1.465,0.628
79,1.0564734936,1.056,3,1.359,0.516
80,1.056956172,1.056,3,1.247,0.397
81,1.0573670864,1.057,3,1.144,0.288
82,1.0577600002,1.057,3,1.038,0.174
83,1.0581302643,1.058,3,0.93,0.059
84,1.0584681034,1.058,3,0.825,-0.054
85,1.0587823391,1.058,3,0.719,-0.167
86,1.0590724945,1.059,3,0.613,-0.281
87,1.0593363047,1.059,3,0.51,-0.392
88,1.0595880747,1.059,3,0.405,-0.506
