,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.744,12.263
1,0.0942621455,0.094,1,15.09,11.956
2,0.1000000015,0.1,1,14.324,11.587
3,0.1199999899,0.12,1,13.093,10.856
4,0.1400000006,0.14,1,12.438,10.39
5,0.1599999964,0.16,1,11.986,10.041
6,0.2000000179,0.2,1,11.323,9.504
7,0.2373872399,0.237,1,10.865,9.109
8,0.25,0.25,1,10.73,8.989
9,0.3000000417,0.3,1,10.26,8.575
10,0.349999994,0.35,1,9.823,8.212
11,0.400000006,0.4,1,9.355,7.843
12,0.4499999881,0.45,1,8.834,7.425
13,0.5,0.5,1,8.196,6.953
14,0.5500000715,0.55,1,7.531,6.462
15,0.6000000238,0.6,1,6.965,6.018
16,0.6254525781,0.625,1,6.692,5.802
17,0.6499999762,0.65,1,6.443,5.604
18,0.6546261311,0.655,1,6.399,5.568
19,0.6812904477,0.681,1,6.147,5.365
20,0.6999999881,0.7,1,5.979,5.228
21,0.7155672908,0.716,1,5.843,5.117
22,0.7405700088,0.741,1,5.63,4.941
23,0.7499999404,0.75,1,5.551,4.876
24,0.7639126182,0.764,1,5.436,4.777
25,0.788667798,0.789,1,5.233,4.602
26,0.8000000119,0.8,1,5.141,4.521
27,0.8251271248,0.825,1,4.935,4.342
28,0.8492640853,0.849,1,4.737,4.169
29,0.8500000238,0.85,1,4.731,4.163
30,0.8535775542,0.853,1,4.702,4.138
31,0.8752929568,0.875,1,4.522,3.982
32,0.8951858878,0.895,1,4.355,3.835
33,0.8999999166,0.899,1,4.313,3.798
34,0.913322866,0.913,1,4.198,3.698
35,0.9289152026,0.928,1,4.058,3.577
36,0.9430797696,0.943,1,3.928,3.462
37,0.9499999881,0.95,1,3.862,3.405
38,0.9604563117,0.96,1,3.763,3.32
39,0.9750564098,0.975,1,3.622,3.198
40,0.9889010787,0.989,1,3.485,3.079
41,1.0,1.0,1,3.371,2.978
42,1.0068699121,1.007,1,3.297,2.915
43,1.0162990093,1.016,1,3.187,2.817
44,1.0217821598,1.022,1,3.122,2.759
45,1.0255317688,1.025,1,3.073,2.712
46,1.0311415195,1.031,1,2.997,2.64
47,1.0361770391,1.036,1,2.928,2.571
48,1.0393211842,1.039,1,2.883,2.526
49,1.0411010981,1.041,2,2.857,2.498
50,1.0474770069,1.047,2,2.762,2.394
51,1.0499999523,1.05,2,2.721,2.343
52,1.0536448956,1.053,2,2.659,2.264
53,1.0575746298,1.057,2,2.588,2.16
54,1.060516715,1.06,2,2.534,2.071
55,1.0622957945,1.062,2,2.502,2.011
56,1.0637049675,1.063,2,2.479,1.96
57,1.0647937059,1.064,2,2.464,1.919
58,1.0659822226,1.065,2,2.453,1.875
59,1.067022562,1.066,2,2.452,1.842
60,1.067931056,1.067,2,2.457,1.817
61,1.0687642097,1.068,2,2.472,1.803
62,1.0695520639,1.069,2,2.487,1.793
63,1.0703349113,1.07,2,2.506,1.787
64,1.0713244677,1.071,2,2.502,1.758
65,1.0724947453,1.072,2,2.447,1.679
66,1.0726386309,1.072,2,2.436,1.666
67,1.0734916925,1.073,3,2.359,1.579
68,1.0744872093,1.074,3,2.255,1.465
69,1.0753160715,1.075,3,2.159,1.361
70,1.0761983395,1.076,3,2.048,1.242
71,1.077034235,1.076,3,1.934,1.122
72,1.0777937174,1.077,3,1.823,1.004
73,1.0784913301,1.078,3,1.712,0.888
74,1.0791354179,1.078,3,1.604,0.773
75,1.0797632933,1.079,3,1.49,0.653
76,1.0803328753,1.08,3,1.379,0.535
77,1.0808346272,1.08,3,1.274,0.424
78,1.0813170671,1.081,3,1.164,0.307
79,1.081751585,1.081,3,1.057,0.193
80,1.0821444988,1.081,3,0.954,0.083
81,1.0825146437,1.082,3,0.849,-0.03
82,1.0828515291,1.082,3,0.746,-0.14
83,1.0831531286,1.082,3,0.647,-0.247
84,1.0834422112,1.083,3,0.545,-0.356
85,1.0837067366,1.083,3,0.446,-0.464
86,1.0839490891,1.083,3,0.349,-0.57
87,1.0841794014,1.083,3,0.25,-0.677
88,1.0843888521,1.084,3,0.156,-0.781
89,1.0845830441,1.084,3,0.063,-0.883
90,1.0847684145,1.084,3,-0.026,-0.981
91,1.0849597454,1.084,3,-0.114,-1.077
92,1.0851563215,1.084,3,-0.171,-1.141
93,1.0852161646,1.085,3,-0.153,-1.12
94,1.0853377581,1.085,3,-0.083,-1.042
95,1.0853983164,1.085,3,-0.036,-0.988
96,1.0854589939,1.085,3,-0.073,-1.03
97,1.0856113434,1.085,3,-0.168,-1.134
98,1.0857608318,1.085,3,-0.263,-1.24
99,1.0858989954,1.085,3,-0.356,-1.343
100,1.0860306025,1.085,3,-0.451,-1.449
101,1.0861474276,1.085,3,-0.54,-1.549
102,1.0862613916,1.086,3,-0.631,-1.652
103,1.0863616467,1.086,3,-0.715,-1.748
104,1.0864576101,1.086,3,-0.802,-1.847
105,1.0865441561,1.086,3,-0.885,-1.942
106,1.0866253376,1.086,3,-0.968,-2.036
107,1.0866998434,1.086,3,-1.048,-2.129
108,1.0867705345,1.086,3,-1.128,-2.222
109,1.0868344307,1.086,3,-1.204,-2.311
110,1.0868947506,1.086,3,-1.279,-2.401
111,1.0869516134,1.086,3,-1.354,-2.491
112,1.0870163441,1.086,3,-1.446,-2.6
113,1.0870761871,1.086,3,-1.532,-2.707
114,1.0871208906,1.086,3,-1.6,-2.792
115,1.0871711969,1.086,3,-1.681,-2.894
116,1.0872180462,1.087,3,-1.761,-2.994
117,1.0872620344,1.087,3,-1.839,-3.095
118,1.0873020887,1.087,3,-1.913,-3.192
119,1.0873389244,1.087,3,-1.985,-3.287
120,1.0873734951,1.087,3,-2.054,-3.381
121,1.0874056816,1.087,3,-2.12,-3.475
122,1.0874345303,1.087,3,-2.179,-3.561
123,1.0874619484,1.087,3,-2.238,-3.648
124,1.0874880552,1.087,3,-2.297,-3.735
125,1.0875126123,1.087,3,-2.355,-3.822
126,1.0875350237,1.087,3,-2.408,-3.904
127,1.0875561237,1.087,3,-2.458,-3.982
128,1.0875762701,1.087,3,-2.505,-4.056
129,1.0875818729,1.087,3,-2.518,-4.076
130,1.0875818729,1.087,4,0.311,-0.502
131,1.0877597332,1.087,4,0.284,-0.533
132,1.0879405737,1.087,4,0.273,-0.546
133,1.0881230831,1.087,4,0.264,-0.555
134,1.0883084536,1.088,4,0.257,-0.561
135,1.0884952545,1.088,4,0.251,-0.566
