,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.471,12.177
1,0.0913279653,0.091,1,15.263,12.083
2,0.1000000015,0.1,1,14.062,11.501
3,0.1200000048,0.12,1,12.899,10.775
4,0.1400000006,0.14,1,12.273,10.315
5,0.1599999964,0.16,1,11.831,9.967
6,0.2000000179,0.2,1,11.183,9.427
7,0.25,0.25,1,10.592,8.904
8,0.3000000417,0.3,1,10.075,8.482
9,0.349999994,0.35,1,9.662,8.136
10,0.400000006,0.4,1,9.24,7.783
11,0.4336104691,0.433,1,8.883,7.499
12,0.4500000179,0.45,1,8.718,7.368
13,0.5,0.5,1,8.091,6.9
14,0.5347478986,0.534,1,7.642,6.561
15,0.5500000715,0.55,1,7.458,6.419
16,0.6000000238,0.6,1,6.907,5.981
17,0.6067743301,0.607,1,6.834,5.922
18,0.6401304603,0.64,1,6.489,5.647
19,0.6499999762,0.65,1,6.393,5.57
20,0.6560454965,0.656,1,6.335,5.522
21,0.6802398562,0.68,1,6.108,5.338
22,0.6999999881,0.7,1,5.93,5.193
23,0.717921257,0.718,1,5.773,5.063
24,0.7398050427,0.74,1,5.585,4.907
25,0.75,0.75,1,5.498,4.834
26,0.7721812725,0.772,1,5.311,4.673
27,0.7930061817,0.793,1,5.135,4.52
28,0.8000000119,0.8,1,5.076,4.469
29,0.8063080907,0.806,1,5.023,4.423
30,0.8300081491,0.83,1,4.823,4.248
31,0.8500000238,0.85,1,4.651,4.099
32,0.8557270169,0.855,1,4.602,4.056
33,0.8753177524,0.875,1,4.432,3.907
34,0.8931229711,0.893,1,4.272,3.768
35,0.8999999762,0.899,1,4.208,3.711
36,0.9084549546,0.908,1,4.129,3.643
37,0.9224138856,0.922,1,3.995,3.527
38,0.9353316426,0.935,1,3.866,3.415
39,0.9466701746,0.946,1,3.749,3.314
40,0.9500000477,0.95,1,3.714,3.284
41,0.9583309889,0.958,1,3.627,3.21
42,0.9696583152,0.969,1,3.507,3.107
43,0.9799069166,0.98,1,3.394,3.008
44,0.9922676682,0.992,1,3.245,2.876
45,1.0,1.0,1,3.147,2.788
46,1.0009565353,1.001,1,3.135,2.777
47,1.0082310438,1.008,1,3.031,2.68
48,1.0148220062,1.015,1,2.929,2.577
49,1.0192537308,1.019,1,2.856,2.499
50,1.0236233473,1.023,2,2.78,2.413
51,1.0282077789,1.028,2,2.698,2.311
52,1.0318022966,1.032,2,2.628,2.213
53,1.034599781,1.034,2,2.572,2.123
54,1.0362651348,1.036,2,2.538,2.064
55,1.037497282,1.037,2,2.512,2.013
56,1.0384780169,1.038,2,2.494,1.971
57,1.0395674706,1.039,2,2.475,1.922
58,1.0405660868,1.04,2,2.462,1.877
59,1.0414601564,1.041,2,2.458,1.84
60,1.0422896147,1.042,2,2.46,1.811
61,1.0430986881,1.043,2,2.473,1.793
62,1.0439110994,1.043,2,2.485,1.777
63,1.0449248552,1.044,2,2.477,1.739
64,1.0459480286,1.045,2,2.425,1.664
65,1.0462422371,1.046,2,2.403,1.636
66,1.0466926098,1.046,3,2.358,1.585
67,1.0475939512,1.047,3,2.254,1.47
68,1.0483452082,1.048,3,2.157,1.365
69,1.0491474867,1.049,3,2.045,1.245
70,1.0498203039,1.049,3,1.942,1.136
71,1.0499999523,1.05,3,1.913,1.106
72,1.05045259,1.05,3,1.841,1.03
73,1.0511167049,1.051,3,1.728,0.91
74,1.0517196655,1.051,3,1.617,0.794
75,1.0522756577,1.052,3,1.508,0.679
76,1.0527786016,1.052,3,1.402,0.567
77,1.0532550812,1.053,3,1.296,0.454
78,1.0537210703,1.053,3,1.183,0.335
79,1.0541177988,1.054,3,1.079,0.225
80,1.0544971228,1.054,3,0.972,0.111
81,1.0548546314,1.054,3,0.864,-0.005
82,1.055180788,1.055,3,0.758,-0.118
83,1.0554844141,1.055,3,0.651,-0.233
84,1.0557646751,1.055,3,0.544,-0.347
85,1.0560195446,1.056,3,0.441,-0.459
86,1.0562628508,1.056,3,0.335,-0.573
87,1.0564850569,1.056,3,0.231,-0.686
88,1.0566937923,1.056,3,0.127,-0.799
89,1.0568858385,1.056,3,0.025,-0.911
90,1.0570688248,1.057,3,-0.079,-1.024
91,1.0572390556,1.057,3,-0.177,-1.132
92,1.057433486,1.057,3,-0.271,-1.236
93,1.0575261116,1.057,3,-0.3,-1.268
94,1.0576244593,1.057,3,-0.259,-1.221
95,1.0577090979,1.057,3,-0.181,-1.134
96,1.0577213764,1.057,3,-0.171,-1.123
97,1.0578353405,1.057,3,-0.255,-1.216
98,1.0579624176,1.057,3,-0.35,-1.321
99,1.0580818653,1.058,3,-0.443,-1.424
100,1.0581959486,1.058,3,-0.537,-1.529
101,1.0582977533,1.058,3,-0.627,-1.629
102,1.0583969355,1.058,3,-0.719,-1.733
103,1.0584867001,1.058,3,-0.807,-1.832
104,1.0585715771,1.058,3,-0.894,-1.931
105,1.0586490631,1.058,3,-0.98,-2.029
106,1.0587228537,1.058,3,-1.067,-2.128
107,1.058789134,1.058,3,-1.15,-2.223
108,1.0588525534,1.058,3,-1.233,-2.32
109,1.058909893,1.058,3,-1.312,-2.413
110,1.0589644909,1.058,3,-1.392,-2.507
111,1.0590155125,1.058,3,-1.469,-2.6
112,1.0590624809,1.059,3,-1.546,-2.692
113,1.0591068268,1.059,3,-1.623,-2.785
114,1.0591572523,1.059,3,-1.711,-2.894
115,1.0591956377,1.059,3,-1.782,-2.983
116,1.0592390299,1.059,3,-1.867,-3.09
117,1.059278965,1.059,3,-1.95,-3.196
118,1.0593165159,1.059,3,-2.032,-3.302
119,1.0593515635,1.059,3,-2.108,-3.406
120,1.0593827963,1.059,3,-2.18,-3.505
121,1.059412241,1.059,3,-2.251,-3.605
122,1.059440136,1.059,3,-2.321,-3.705
123,1.0594660044,1.059,3,-2.385,-3.801
124,1.0594898462,1.059,3,-2.448,-3.895
125,1.0595128536,1.059,3,-2.51,-3.988
126,1.0595351458,1.059,3,-2.568,-4.076
127,1.0595351458,1.059,4,0.297,-0.5
128,1.0596957207,1.059,4,0.269,-0.533
129,1.0598567724,1.059,4,0.259,-0.545
130,1.0600198507,1.059,4,0.251,-0.554
131,1.0601670742,1.059,4,0.244,-0.559
132,1.0603157282,1.059,4,0.239,-0.564
133,1.0604811907,1.06,4,0.233,-0.568
134,1.0606275797,1.06,4,0.228,-0.571
135,1.0607750416,1.06,4,0.223,-0.574
136,1.0609217882,1.06,4,0.219,-0.577
137,1.0610841513,1.06,4,0.213,-0.581
138,1.0612384081,1.06,4,0.208,-0.584
139,1.0614038706,1.061,4,0.202,-0.588
140,1.0615519285,1.061,4,0.197,-0.592
141,1.0617089272,1.061,4,0.192,-0.596
142,1.0618593693,1.061,4,0.187,-0.6
143,1.0619081259,1.061,4,0.185,-0.601
144,1.0620604753,1.061,4,0.18,-0.605
145,1.0622104406,1.061,4,0.175,-0.609
146,1.0623658895,1.062,4,0.17,-0.613
147,1.0625175238,1.062,4,0.165,-0.617
148,1.0626707077,1.062,4,0.16,-0.622
149,1.0628285408,1.062,4,0.154,-0.627
150,1.0629742146,1.062,4,0.149,-0.633
151,1.0629888773,1.062,4,0.149,-0.633
152,1.0631169081,1.062,4,0.144,-0.638
153,1.0632684231,1.062,4,0.138,-0.645
154,1.0634154081,1.063,4,0.132,-0.652
155,1.0635660887,1.063,4,0.125,-0.66
156,1.0637179613,1.063,4,0.117,-0.671
157,1.063865304,1.063,4,0.109,-0.682
158,1.0640146732,1.063,4,0.099,-0.695
159,1.0641604662,1.063,4,0.088,-0.709
160,1.0643087626,1.063,4,0.078,-0.722
161,1.0644567013,1.064,4,0.062,-0.742
162,1.0646055937,1.064,4,0.032,-0.783
163,1.0647529364,1.064,4,-0.039,-0.874
164,1.0648118258,1.064,4,-0.105,-0.957
165,1.0648362637,1.064,4,-0.166,-1.031
166,1.0648474693,1.064,4,-0.234,-1.112
167,1.0648530722,1.064,4,-0.309,-1.201
168,1.0648542643,1.064,4,-0.335,-1.231
169,1.0648543835,1.064,7,-0.336,-1.232
170,1.0648565292,1.064,7,-0.396,-1.302
171,1.0648590326,1.064,7,-0.476,-1.394
172,1.0648616552,1.064,7,-0.554,-1.484
173,1.0648641586,1.064,7,-0.616,-1.555
174,1.064868331,1.064,7,-0.663,-1.609
175,1.0648758411,1.063,7,-0.6,-1.537
176,1.0648906231,1.063,7,-0.543,-1.47
177,1.0649718046,1.062,7,-0.586,-1.521
178,1.0650217533,1.061,7,-0.672,-1.619
179,1.0650719404,1.06,7,-0.78,-1.744
180,1.0651168823,1.059,7,-0.88,-1.86
181,1.065156579,1.058,7,-0.976,-1.97
182,1.0651912689,1.056,7,-1.069,-2.078
183,1.0652217865,1.055,7,-1.16,-2.183
184,1.065248847,1.053,7,-1.248,-2.286
185,1.0652730465,1.05,7,-1.329,-2.389
186,1.065289855,1.049,7,-1.382,-2.468
187,1.0653101206,1.046,7,-1.466,-2.57
188,1.0653289557,1.042,7,-1.549,-2.672
189,1.0653465986,1.039,7,-1.632,-2.773
190,1.0653634071,1.034,7,-1.714,-2.875
191,1.065379262,1.028,7,-1.794,-2.977
192,1.0653934479,1.022,7,-1.868,-3.073
193,1.0654079914,1.014,7,-1.941,-3.17
194,1.0654224157,1.004,7,-2.013,-3.266
195,1.0654363632,0.992,7,-2.079,-3.362
196,1.0654484034,0.978,7,-2.143,-3.46
197,1.0654571056,0.966,7,-2.206,-3.556
198,1.065464139,0.953,7,-2.263,-3.645
199,1.0654712915,0.936,7,-2.315,-3.737
200,1.0654771328,0.918,7,-2.366,-3.828
201,1.0654830933,0.895,7,-2.413,-3.917
202,1.0654848814,0.886,7,-2.409,-3.914
203,1.0654857159,0.883,7,-2.446,-3.978
204,1.0654860735,0.88,7,-2.479,-4.042
205,1.0654865503,0.877,7,-2.51,-4.105
206,1.0654873848,0.87,7,-2.554,-4.201
207,1.0654885769,0.854,7,-2.578,-4.266
