,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.458,12.175
1,0.0943700597,0.094,1,14.798,11.87
2,0.1000000015,0.1,1,14.048,11.497
3,0.1032073051,0.103,1,13.838,11.372
4,0.1199999899,0.12,1,12.888,10.771
5,0.1400000006,0.14,1,12.265,10.312
6,0.1599999964,0.16,1,11.825,9.966
7,0.2000000179,0.2,1,11.186,9.432
8,0.2246616483,0.225,1,10.884,9.164
9,0.25,0.25,1,10.597,8.916
10,0.3000000417,0.3,1,10.084,8.499
11,0.3401504755,0.34,1,9.738,8.207
12,0.349999994,0.35,1,9.664,8.142
13,0.400000006,0.4,1,9.244,7.791
14,0.4500000477,0.45,1,8.727,7.378
15,0.5,0.5,1,8.111,6.917
16,0.5500000715,0.55,1,7.492,6.449
17,0.6000000238,0.6,1,6.952,6.019
18,0.6350566149,0.635,1,6.595,5.735
19,0.6499999762,0.65,1,6.453,5.62
20,0.6592470407,0.659,1,6.366,5.55
21,0.6936373115,0.694,1,6.06,5.303
22,0.6999999881,0.7,1,6.006,5.259
23,0.7323773503,0.732,1,5.738,5.039
24,0.75,0.75,1,5.596,4.923
25,0.7633784413,0.763,1,5.491,4.833
26,0.7956787348,0.796,1,5.241,4.618
27,0.8000000119,0.8,1,5.208,4.59
28,0.8246395588,0.824,1,5.019,4.428
29,0.8500000238,0.85,1,4.826,4.261
30,0.8580783606,0.858,1,4.766,4.209
31,0.889059484,0.888,1,4.533,4.009
32,0.8999999762,0.899,1,4.45,3.937
33,0.9169433117,0.916,1,4.322,3.828
34,0.9406073093,0.94,1,4.141,3.674
35,0.9499999881,0.95,1,4.068,3.612
36,0.9605935216,0.96,1,3.986,3.544
37,0.9803108573,0.98,1,3.829,3.414
38,0.9973052144,0.997,1,3.691,3.3
39,1.0,1.0,1,3.669,3.282
40,1.0059272051,1.006,1,3.62,3.243
41,1.0198214054,1.02,1,3.504,3.151
42,1.0333791971,1.033,1,3.388,3.059
43,1.046718359,1.046,1,3.272,2.967
44,1.0499999523,1.05,1,3.244,2.944
45,1.0574620962,1.057,1,3.18,2.893
