,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,15.847,12.304
1,0.0911016613,0.091,1,15.663,12.205
2,0.1000000015,0.1,1,14.415,11.617
3,0.1175126359,0.117,1,13.297,10.969
4,0.1199999973,0.12,1,13.163,10.884
5,0.1400000006,0.14,1,12.496,10.415
6,0.1599999964,0.16,1,12.036,10.064
7,0.2000000179,0.2,1,11.366,9.524
8,0.25,0.25,1,10.765,9.009
9,0.3000000417,0.3,1,10.303,8.594
10,0.349999994,0.35,1,9.875,8.235
11,0.400000006,0.4,1,9.385,7.857
12,0.4500000179,0.45,1,8.864,7.439
13,0.5,0.5,1,8.228,6.967
14,0.5469844937,0.547,1,7.592,6.501
15,0.5500000715,0.55,1,7.554,6.472
16,0.6000000238,0.6,1,6.977,6.024
17,0.6111373305,0.611,1,6.855,5.927
18,0.6499261856,0.65,1,6.449,5.606
19,0.6499999762,0.65,1,6.449,5.605
20,0.6700795293,0.67,1,6.254,5.448
21,0.693841815,0.694,1,6.034,5.27
22,0.6999999881,0.7,1,5.978,5.225
23,0.7040131092,0.704,1,5.943,5.195
24,0.7285842299,0.729,1,5.728,5.019
25,0.75,0.75,1,5.545,4.867
26,0.7514481544,0.751,1,5.533,4.857
27,0.7757683992,0.776,1,5.329,4.681
28,0.7976610661,0.797,1,5.147,4.523
29,0.8000000119,0.8,1,5.128,4.506
30,0.8117187023,0.811,1,5.031,4.421
31,0.8354182839,0.835,1,4.832,4.248
32,0.8500000238,0.85,1,4.709,4.14
33,0.8610746264,0.861,1,4.616,4.058
34,0.880597353,0.88,1,4.449,3.911
35,0.8983374834,0.898,1,4.292,3.773
36,0.8999999762,0.899,1,4.277,3.76
37,0.9136042595,0.913,1,4.154,3.652
38,0.9274761677,0.927,1,4.023,3.537
39,0.9403120279,0.94,1,3.898,3.427
40,0.9499999881,0.95,1,3.802,3.343
41,0.9588680863,0.959,1,3.714,3.266
42,0.9724375606,0.972,1,3.577,3.146
43,0.9838513732,0.984,1,3.458,3.039
44,0.9932076931,0.993,1,3.353,2.943
45,1.0,1.0,1,3.272,2.87
46,1.0051971674,1.005,1,3.209,2.813
47,1.0094946623,1.01,1,3.152,2.759
48,1.0160090923,1.016,1,3.062,2.671
49,1.0219419003,1.022,1,2.976,2.583
50,1.0256866217,1.025,1,2.918,2.522
51,1.0272772312,1.027,2,2.893,2.494
52,1.0329450369,1.033,2,2.803,2.389
53,1.0373965502,1.037,2,2.726,2.288
54,1.0408114195,1.04,2,2.664,2.198
55,1.0434613228,1.043,2,2.616,2.117
56,1.0455467701,1.045,2,2.58,2.047
57,1.0472137928,1.047,2,2.557,1.988
58,1.0485875607,1.048,2,2.545,1.94
59,1.049764514,1.049,2,2.548,1.906
60,1.0499999523,1.05,2,2.55,1.9
61,1.0501759052,1.05,2,2.552,1.896
62,1.0508884192,1.05,2,2.563,1.884
63,1.0515408516,1.051,2,2.578,1.878
64,1.0521570444,1.052,2,2.586,1.868
65,1.0527684689,1.052,2,2.587,1.852
66,1.0535402298,1.053,2,2.566,1.813
67,1.0544512272,1.054,2,2.518,1.747
68,1.0545630455,1.054,2,2.509,1.737
69,1.0553910732,1.055,3,2.433,1.65
70,1.0563572645,1.056,3,2.33,1.536
71,1.057161808,1.057,3,2.233,1.432
72,1.0580180883,1.058,3,2.122,1.313
