,V,E_V,I,E_I,V-I,PROB_VI,neighbor_dist
629,22.253918,0.077745356,21.81194,0.1356309,0.44197845,0.9692222,0.028201847160169508
630,22.252714,0.051872622,21.597216,0.087047376,0.6554985,0.95139575,0.12969703953468234
631,22.258007,0.06846733,21.72618,0.11677952,0.5318279,0.88350743,0.021000754919021463
632,22.25978,0.060188685,21.834738,0.10660736,0.4250431,0.9214312,0.036111493220642554
633,22.259832,0.07128817,21.792969,0.12749243,0.46686363,0.9459822,0.030943252605979302
634,22.259407,0.08360285,21.572872,0.14399362,0.6865349,0.9850397,0.13797155415109266
635,22.262115,0.047769863,21.675459,0.08250829,0.5866566,0.9377599,0.04624775204524974
636,22.264856,0.068992674,21.821688,0.117732964,0.44316864,0.94551086,0.031172450221815216
637,22.266363,0.06954588,21.829472,0.12116032,0.43689156,0.9120149,0.031172450221815216
638,22.268076,0.05859785,21.787273,0.10058597,0.48080254,0.9101877,0.03544994379914567
639,22.268139,0.073584616,21.76656,0.12521899,0.5015793,0.8908951,0.032900378475355714
640,22.269278,0.052349012,21.726976,0.089637026,0.5423012,0.9463757,0.04231460052264595
641,22.270214,0.06505524,21.742487,0.10980042,0.5277271,0.91945857,0.02380013966840944
642,22.273384,0.046191607,21.765259,0.08119582,0.5081253,0.90057635,0.032900378475355714
643,22.276367,0.06013584,21.742884,0.1085424,0.5334835,0.91868377,0.02922353764662216
644,22.276997,0.06392567,21.799742,0.112168595,0.47725487,0.96763265,0.047809821052397145
645,22.283262,0.0892284,22.059624,0.17014368,0.22363853,0.9975631,0.24116756353321847
646,22.284489,0.054111145,21.818296,0.09694501,0.46619225,0.9214523,0.02517883008877155
647,22.286104,0.046755288,21.882587,0.089376345,0.40351677,0.9052221,0.06508432202046939
648,22.288551,0.061898742,21.80195,0.10774978,0.48660088,0.9670882,0.047809821052397145
649,22.28938,0.06896952,21.859274,0.12283016,0.4301052,0.90253526,0.040936434740357915
650,22.294058,0.07158314,21.68174,0.12007578,0.61231804,0.95486146,0.0803925679787173
651,22.295599,0.059624914,21.70551,0.10069717,0.5900898,0.9658157,0.03530875870396898
652,22.301832,0.05640873,21.793848,0.1028727,0.50798416,0.8955492,0.018310226275262426
653,22.30314,0.07360517,21.800625,0.1237965,0.5025158,0.9443527,0.027156063319700833
654,22.306456,0.09412516,21.841564,0.16021499,0.46489143,0.9615266,0.024594329800516204
655,22.3055,0.069416314,21.652359,0.11017958,0.653141,0.9123051,0.07504681776764459
656,22.306433,0.048900936,21.717508,0.08415349,0.5889244,0.93557316,0.03776170268348967
657,22.310955,0.061738316,21.714474,0.10640303,0.5964813,0.89981467,0.03776170268348967
658,22.313364,0.07342679,21.774235,0.13106087,0.53912926,0.951478,0.047316573280169597
659,22.314892,0.06343705,21.845232,0.10962148,0.4696598,0.9331132,0.025145896500139493
660,22.315418,0.07485058,21.807804,0.12559183,0.50761414,0.9210148,0.013873916168842393
661,22.318935,0.06494301,21.80975,0.11414235,0.5091858,0.8662835,0.018310226275262426
662,22.320053,0.055573117,21.815828,0.095657654,0.5042248,0.8907,0.018873029517182584
663,22.321651,0.070680805,21.799574,0.11925746,0.52207756,0.8876111,0.05912711235424016
664,22.322178,0.09636446,21.861067,0.16956067,0.46111107,0.9709434,0.0323980086173584
665,22.323095,0.06400725,21.843428,0.11022354,0.47966766,0.91251206,0.03659630067890745
666,22.323313,0.10950432,21.709988,0.18417102,0.6133251,0.9806024,0.06875810733586772
667,22.328524,0.059385523,21.768606,0.101034686,0.55991745,0.93185896,0.050822711181710285
668,22.331251,0.07904349,21.830069,0.14203115,0.50118256,0.97013825,0.029212193478340844
669,22.33264,0.050577737,21.860088,0.0897144,0.47255135,0.89635324,0.0261944781340352
670,22.332119,0.11833755,21.651936,0.19860819,0.6801834,0.9893034,0.11253168164302542
671,22.336084,0.054770112,21.925224,0.09727404,0.41086006,0.88853747,0.06509688026014702
672,22.339087,0.08057759,21.855383,0.15025832,0.4837036,0.9115344,0.025744777803014252
673,22.340816,0.057846695,21.885015,0.104335226,0.455801,0.91468877,0.028157938788712623
674,22.341305,0.08687096,21.78509,0.14475448,0.5562153,0.9459835,0.0495061200901829
675,22.343536,0.06805405,21.88774,0.11920191,0.4557972,0.94804156,0.02799433840490521
676,22.343636,0.053609006,21.893482,0.11075971,0.45015335,0.907958,0.028157938788712623
677,22.342216,0.08297411,21.713043,0.13726033,0.6291733,0.9405897,0.05432720999718053
678,22.349638,0.05577401,21.908436,0.09846201,0.44120216,0.8808678,0.023055003441237915
679,22.353003,0.07026421,21.777252,0.12442622,0.57575035,0.94788057,0.035309775769908236
680,22.354855,0.0769165,21.786213,0.12765133,0.56864166,0.9538628,0.035309775769908236
681,22.357904,0.052950352,21.91592,0.09410444,0.44198418,0.8966667,0.015471904273067778
682,22.357777,0.07471803,21.88648,0.12960391,0.4712963,0.90565896,0.0261944781340352
683,22.357822,0.077790186,21.83055,0.13212425,0.5272732,0.95708275,0.044773710977125014
684,22.35866,0.0600719,21.871729,0.10541471,0.48693085,0.93988556,0.027385907416388695
685,22.360231,0.068704344,21.859692,0.12086616,0.5005398,0.92815286,0.02950728172582146
686,22.360228,0.091602236,21.735266,0.15604547,0.62496185,0.97699106,0.06764327992862806
687,22.363543,0.0725032,21.91866,0.12904462,0.44488335,0.96255445,0.023055003441237915
688,22.364439,0.06101724,21.889091,0.10695668,0.47534752,0.93889177,0.02119541694396461
689,22.364195,0.063052356,21.794195,0.106345885,0.5699997,0.90814924,0.0306916130790138
690,22.364933,0.07020292,21.856844,0.12394257,0.50808907,0.9641557,0.039350154458246175
691,22.370317,0.07279381,21.948347,0.12323726,0.42197037,0.9181517,0.06509688026014702
692,22.371113,0.062044952,21.894997,0.10748913,0.47611618,0.9376349,0.027454441317188202
693,22.370968,0.061568867,21.732546,0.104065895,0.638422,0.91098803,0.061471862950805756
694,22.374166,0.068581276,21.92027,0.123975635,0.45389557,0.9616572,0.03505620990475507
695,22.372864,0.08379076,21.614748,0.13772362,0.75811577,0.97882134,0.19917083977250175
