# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Mar 28 21:50:06 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 3.162278E+09 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00061788 -1.40000 9.50000 0.4499999881 2.1822809009    0.450 -1.311  3.6329  4.885    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.499e-01 2.494e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 8.046 10.477 9.778 8.662 7.950 7.347 6.561 5.979 5.830
0.00061788 -1.40000 9.50000 0.5000000000 2.2374541529    0.500 -1.128  3.6566  4.844    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.499e-01 2.494e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 7.591 9.621 9.068 8.060 7.435 6.893 6.169 5.608 5.487
0.00061788 -1.40000 9.50000 0.5500000715 2.2836583126    0.550 -0.943  3.6817  4.800    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.593e-01 2.401e-01 1.132e-04 3.056e-05 2.771e-04 -1.000 6.313e-04 7.128 8.722 8.366 7.464 6.921 6.435 5.785 5.273 5.174
0.00061788 -1.40000 9.50000 0.5919020772 2.3155463160    0.592 -0.795  3.7017  4.764    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.617e-01 2.377e-01 1.123e-04 3.029e-05 2.748e-04 -1.000 6.477e-04 6.758 8.026 7.835 7.016 6.525 6.077 5.488 5.020 4.935
0.00061788 -1.40000 9.50000 0.6000000238 2.3211213258    0.600 -0.768  3.7053  4.757    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.621e-01 2.372e-01 1.121e-04 3.025e-05 2.744e-04 -1.000 6.501e-04 6.690 7.901 7.739 6.936 6.454 6.012 5.433 4.974 4.892
0.00061788 -1.40000 9.50000 0.6499999762 2.3520353107    0.650 -0.597  3.7307  4.723    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.657e-01 2.337e-01 1.106e-04 2.985e-05 2.708e-04 -1.000 5.777e-04 6.263 7.118 7.139 6.446 6.019 5.619 5.110 4.703 4.638
0.00061788 -1.40000 9.50000 0.6747417450 2.3653987834    0.675 -0.515  3.7428  4.706    1  0.000  0.544     0.00     0.00 -1    -1e-30      0.00 7.679e-01 2.315e-01 1.097e-04 2.962e-05 2.687e-04 -1.000 6.047e-04 6.058 6.768 6.861 6.222 5.819 5.438 4.961 4.574 4.517
0.00061788 -1.40000 9.50000 0.6999999881 2.3779266974    0.700 -0.434  3.7548  4.688    1  0.000  0.544     0.00     0.00 -1    -1e-30      0.00 7.704e-01 2.290e-01 1.088e-04 2.936e-05 2.664e-04 -1.000 6.236e-04 5.855 6.442 6.593 6.005 5.625 5.263 4.813 4.447 4.398
0.00061788 -1.40000 9.50000 0.7138668895 2.3843727136    0.714 -0.390  3.7611  4.678    1  0.000  0.542     0.00     0.00 -1    -1e-30      0.00 7.721e-01 2.273e-01 1.077e-04 2.917e-05 2.648e-04 -1.000 6.137e-04 5.745 6.277 6.452 5.891 5.521 5.169 4.734 4.378 4.333
0.00061788 -1.40000 9.50000 0.7491903901 2.3995600540    0.749 -0.281  3.7765  4.652    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.772e-01 2.222e-01 1.047e-04 2.861e-05 2.601e-04 -1.000 6.276e-04 5.472 5.886 6.110 5.607 5.266 4.936 4.536 4.205 4.170
